,word,furigana,translation,jlpt_level,romaji,num_characters,stroke_count
4590,ロッカー,ロッカー,locker,N2,rokkaー,4,6
4591,ロビー,ロビー,lobby,N2,robiー,3,7
4592,論ずる,ろんずる,"to argue, to discuss",N2,ronzuru,3,20
4593,和～,わ～,Japanese style,N2,wa～,2,8
4594,和英,わえい,Japanese-English,N2,waei,2,16
4595,我～,わが～,our ~,N2,waga～,2,7
4596,分かれる,わかれる,"to branch, to fork, to diverge to separate, to split, to divide to disperse, to scatter",N2,wakareru,4,10
4597,若々しい,わかわかしい,"youthful, young",N2,wakawakashii,4,11
4598,詫びる,わびる,to apologize,N2,wabiru,3,17
4599,和服,わふく,Japanese clothes,N2,wafuku,2,16
4600,割合に,わりあいに,"relatively, comparatively",N2,wariaini,3,21
4601,割算,わりざん,division (math),N2,warizan,2,26
4602,割と,わりと,"relatively, comparatively",N2,warito,2,14
4603,割引,わりびき,discount,N2,waribiki,2,16
4604,ワンピース,ワンピース,one-piece dress,N2,wanpiーsu,5,9
4605,作法,さほう,"manners, etiquette, propriety",N3,sahou,2,15
4606,様々,さまざま,"varied, various",N3,samazama,2,14
4607,冷ます,さます,"to cool, to let cool",N3,samasu,3,12
4608,覚ます,さます,to awaken,N3,samasu,3,17
4609,冷める,さめる,"to become cool, to wear off",N3,sameru,3,10
4610,覚める,さめる,"to wake, to wake up",N3,sameru,3,15
4611,左右,さゆう,left and right; influence,N3,sayuu,2,10
4612,皿,さら,"plate, dish",N3,sara,1,5
4613,更に,さらに,"furthermore, moreover",N3,sarani,2,10
4614,去る,さる,"to leave, to go away",N3,saru,2,6
4615,猿,さる,monkey,N3,saru,1,13
4616,騒ぎ,さわぎ,"uproar, disturbance",N3,sawagi,2,23
4617,参加,さんか,participation,N3,sanka,2,13
4618,参考,さんこう,"reference, consultation",N3,sankou,2,14
4619,賛成,さんせい,"approval, agreement",N3,sansei,2,21
4620,酸性,さんせい,acidity,N3,sansei,2,22
4621,酸素,さんそ,oxygen,N3,sanso,2,24
4622,氏,し,"family name, lineage",N3,shi,1,4
4623,詩,し,poem; poetry,N3,shi,1,13
4624,幸せ,しあわせ,"happiness, blessing",N3,shiawase,2,11
4625,ジーンズ,ジーンズ,jeans,N3,jiーnzu,4,11
4626,ジェット機,ジェットき,jet plane,N3,jiェttoki,5,26
4627,四角,しかく,square,N3,shikaku,2,12
4628,直に,じかに,"immediately, readily, directly",N3,jikani,2,11
4629,しかも,しかも,"moreover, furthermore, besides, plus",N3,shikamo,3,7
4630,四季,しき,four seasons,N3,shiki,2,13
4631,直,じき,"immediately, soon, shortly",N3,jiki,1,8
4632,時期,じき,"time, season, period",N3,jiki,2,22
4633,支給,しきゅう,"payment, allowance",N3,shikyuu,2,16
4634,至急,しきゅう,"urgent, pressing",N3,shikyuu,2,15
4635,しきりに,しきりに,"frequently, repeatedly, eagerly",N3,shikirini,4,9
4636,刺激,しげき,"stimulus, impetus, incentive",N3,shigeki,2,24
