,word,furigana,translation,jlpt_level,romaji,num_characters,stroke_count
0,現像,げんぞう,developing (film),N1,genzou,2,25
1,原則,げんそく,"principle, general rule",N1,gensoku,2,19
2,見地,けんち,point of view,N1,kenchi,2,13
3,現地,げんち,"actual place, local",N1,genchi,2,17
4,限定,げんてい,"limit, restriction",N1,gentei,2,17
5,原点,げんてん,"origin (coordinates, starting point)",N1,genten,2,19
6,原典,げんてん,"original, source",N1,genten,2,18
7,原爆,げんばく,atomic bomb,N1,genbaku,2,29
8,原文,げんぶん,"the text, original",N1,genbun,2,14
9,厳密,げんみつ,"strict, close",N1,genmitsu,2,28
10,賢明,けんめい,"wisdom, intelligence, prudence",N1,kenmei,2,24
11,倹約,けんやく,"thrift, economy, frugality",N1,kenyaku,2,19
12,原油,げんゆ,crude oil,N1,genyu,2,18
13,兼用,けんよう,"multi-use, combined use",N1,kenyou,2,15
14,権力,けんりょく,"(political) power, authority, influence",N1,kenryoku,2,17
15,言論,げんろん,"discussion, speech",N1,genron,2,22
16,故～,こ～,"deceased, late",N1,ko～,2,9
17,語彙,ごい,"vocabulary, glossary",N1,goi,2,27
18,恋する,こいする,"to fall in love with, to love",N1,koisuru,3,13
19,甲,こう,1st in rank; shell,N1,kou,1,5
20,～光,～こう,light,N1,～kou,2,6
21,好意,こうい,"good will, favor, courtesy",N1,koui,2,19
22,行為,こうい,"act, deed, conduct",N1,koui,2,15
23,合意,ごうい,"agreement, consent, mutual understanding",N1,goui,2,19
24,工学,こうがく,engineering,N1,kougaku,2,11
25,抗議,こうぎ,"protest, objection",N1,kougi,2,27
26,合議,ごうぎ,"consultation, conference",N1,gougi,2,26
27,皇居,こうきょ,Imperial Palace,N1,koukyo,2,17
28,好況,こうきょう,"prosperous conditions, healthy economy",N1,koukyou,2,14
29,鉱業,こうぎょう,mining industry,N1,kougyou,2,26
30,興業,こうぎょう,starting a business; industry,N1,kougyou,2,29
31,高原,こうげん,"tableland, plateau",N1,kougen,2,20
32,交互,こうご,"mutual, reciprocal, alternate",N1,kougo,2,10
33,煌々と,こうこうと,brightly,N1,koukouto,3,15
34,考古学,こうこがく,archeology,N1,koukogaku,3,19
35,工作,こうさく,"handicraft, maneuvering",N1,kousaku,2,10
36,耕作,こうさく,"cultivation, farming",N1,kousaku,2,17
37,鉱山,こうざん,mine,N1,kouzan,2,16
38,講習,こうしゅう,"short course, training",N1,koushuu,2,28
39,口述,こうじゅつ,verbal statement,N1,koujutsu,2,11
40,控除,こうじょ,"subsidy, deduction",N1,koujo,2,21
41,交渉,こうしょう,negotiation,N1,koushou,2,17
42,高尚,こうしょう,"high, noble, refined",N1,koushou,2,18
43,向上,こうじょう,"rise, improvement, progress",N1,koujou,2,9
44,行進,こうしん,"march, parade",N1,koushin,2,17
45,香辛料,こうしんりょう,spices,N1,koushinryou,3,26
46,降水,こうすい,"rainfall, precipitation",N1,kousui,2,14
47,洪水,こうずい,flood,N1,kouzui,2,13
48,合成,ごうせい,"synthetic, mixed",N1,gousei,2,12
49,公然,こうぜん,openly,N1,kouzen,2,16
50,抗争,こうそう,"dispute, resistance",N1,kousou,2,13
51,構想,こうそう,"plan, plot, idea, conception",N1,kousou,2,27
52,後退,こうたい,"retreat, backspace",N1,koutai,2,18
53,光沢,こうたく,"luster, glossy finish (of photographs)",N1,koutaku,2,13
54,公団,こうだん,public corporation,N1,koudan,2,10
55,好調,こうちょう,"satisfactory, in good shape",N1,kouchou,2,21
56,口頭,こうとう,oral,N1,koutou,2,19
57,講読,こうどく,reading,N1,koudoku,2,31
58,購読,こうどく,subscription,N1,koudoku,2,31
59,購入,こうにゅう,"purchase, buy",N1,kounyuu,2,19
60,公認,こうにん,"official recognition, authorization",N1,kounin,2,18
61,光熱費,こうねつひ,cost of fuel and light,N1,kounetsuhi,3,33
62,購買,こうばい,"purchase, buy",N1,koubai,2,29
63,好評,こうひょう,"popularity, favorable reputation",N1,kouhyou,2,18
64,交付,こうふ,"delivering, furnishing (with copies)",N1,koufu,2,11
65,公募,こうぼ,"public appeal, public contribution",N1,koubo,2,16
66,巧妙,こうみょう,"ingenious, skillful, clever",N1,koumyou,2,12
67,公用,こうよう,"government business, public use, public expense",N1,kouyou,2,9
68,小売,こうり,retail,N1,kouri,2,10
69,効率,こうりつ,efficiency,N1,kouritsu,2,19
70,公立,こうりつ,public institution,N1,kouritsu,2,9
71,護衛,ごえい,"guard, convoy, escort",N1,goei,2,36
72,コーナー,コーナー,corner,N1,koーnaー,4,4
73,小柄,こがら,"small, diminutive",N1,kogara,2,12
74,小切手,こぎって,"cheque, check",N1,kogitte,3,11
75,国産,こくさん,domestic products,N1,kokusan,2,19
76,国定,こくてい,"state-sponsored, national",N1,kokutei,2,16
77,告白,こくはく,"confession, acknowledgment",N1,kokuhaku,2,12
78,国防,こくぼう,national defense,N1,kokubou,2,15
79,国有,こくゆう,national ownership,N1,kokuyuu,2,14
80,極楽,ごくらく,paradise,N1,gokuraku,2,25
81,国連,こくれん,"U.N., United Nations",N1,kokuren,2,18
82,焦げ茶,こげちゃ,dark brown,N1,kogecha,3,26
83,語源,ごげん,"word root, word derivation, etymology",N1,gogen,2,27
84,心地,ここち,"feeling, sensation, mood",N1,kokochi,2,10
85,心得,こころえ,"knowledge, information",N1,kokoroe,2,15
86,心掛け,こころがけ,"readiness, intention, aim",N1,kokorogake,3,18
87,心掛ける,こころがける,"to bear in mind, to aim to do",N1,kokorogakeru,4,19
88,志,こころざし,"will, intention, motive",N1,kokorozashi,1,7
89,志す,こころざす,"to plan, to intend, to aspire to",N1,kokorozasu,2,9
90,心強い,こころづよい,"heartening, reassuring",N1,kokorozuyoi,3,17
91,心細い,こころぼそい,"helpless, hopeless, discouraging",N1,kokorobosoi,3,17
92,試み,こころみ,"trial, experiment",N1,kokoromi,2,15
93,試みる,こころみる,"to try, to test",N1,kokoromiru,3,16
94,快い,こころよい,"pleasant, agreeable",N1,kokoroyoi,2,9
95,誤差,ごさ,error,N1,gosa,2,24
96,ございます (かん),ございます (かん),"to be (polite, to exist)",N1,gozaimasu (kan),10,19
97,孤児,こじ,orphan,N1,koji,2,16
98,こじれる,こじれる,"to get complicated, to grow worse",N1,kojireru,4,8
99,こす (みずを～),こす (みずを～),"to strain, to filter",N1,kosu (mizuwo～),9,13
100,梢,こずえ,treetop,N1,kozue,1,11
101,個性,こせい,"individuality, personality, idiosyncrasy",N1,kosei,2,18
102,戸籍,こせき,"census, family register",N1,koseki,2,24
103,古代,こだい,ancient times,N1,kodai,2,10
104,こたつ,こたつ,"table with heater, (originally) charcoal brazier in a floor well",N1,kotatsu,3,7
105,こだわる,こだわる,"to fuss over, to be particular about",N1,kodawaru,4,11
106,誇張,こちょう,exaggeration,N1,kochou,2,24
107,こつ (をつかむ),こつ (をつかむ),"secret, trick, hang",N1,kotsu (wotsukamu),9,13
108,滑稽,こっけい,"funny, humorous, comical",N1,kokkei,2,28
109,国交,こっこう,diplomatic relations,N1,kokkou,2,14
110,骨董品,こっとうひん,curio,N1,kottouhin,3,31
111,固定,こてい,"fixation, fixing (e.g., salary, capital)",N1,kotei,2,16
112,事柄,ことがら,"matter, thing, affair, circumstance",N1,kotogara,2,17
113,孤独,こどく,"isolation, loneliness, solitude",N1,kodoku,2,18
114,ことごとく,ことごとく,"altogether, entirely",N1,kotogotoku,5,11
115,言付け,ことづけ,to leave a message,N1,kotozuke,3,15
116,殊に,ことに,"especially, above all",N1,kotoni,2,13
117,粉々,こなごな,in very small pieces,N1,konagona,2,10
118,好ましい,このましい,"nice, likable, desirable",N1,konomashii,4,12
119,碁盤,ごばん,Go board,N1,goban,2,28
120,個別,こべつ,particular case,N1,kobetsu,2,17
121,ごまかす,ごまかす,"to deceive, to falsify, to misrepresent",N1,gomakasu,4,12
122,細やか,こまやか,"meager, modest",N1,komayaka,3,17
123,コマーシャル,コマーシャル,a commercial,N1,komaーsharu,6,12
124,込める,こめる,"to include, to put into",N1,komeru,3,8
125,コメント,コメント,comment,N1,komento,4,8
126,籠もる,こもる,"to seclude oneself, to be confined in",N1,komoru,3,26
127,固有,こゆう,"characteristic, tradition, peculiar",N1,koyuu,2,14
128,暦,こよみ,"calendar, almanac",N1,koyomi,1,14
129,凝らす,こらす,"to concentrate, to devote, to peer into",N1,korasu,3,20
130,ごらんなさい (かん),ごらんなさい (かん),"look, (please) try to do",N1,gorannasai (kan),11,19
131,孤立,こりつ,"isolation, helplessness",N1,koritsu,2,14
132,懲りる,こりる,"to learn by experience, to be disgusted with",N1,koriru,3,21
133,凝る,こる,"to stiffen, to harden",N1,koru,2,17
134,根気,こんき,"patience; perseverance, energy",N1,konki,2,16
135,根拠,こんきょ,"basis, foundation",N1,konkyo,2,18
136,混血,こんけつ,"mixed race, mixed parentage",N1,konketsu,2,17
137,コンタクト (レンズ),コンタクト (レンズ),contact; contact lens,N1,kontakuto (renzu),11,18
138,昆虫,こんちゅう,"insect, bug",N1,konchuu,2,14
139,根底,こんてい,"root, basis, foundation",N1,kontei,2,18
140,混同,こんどう,"confusion, mixing, merger",N1,kondou,2,17
141,コントラスト,コントラスト,contrast,N1,kontorasuto,6,12
142,コントロール,コントロール,control,N1,kontoroーru,6,11
143,コンパス,コンパス,compass,N1,konpasu,4,9
144,根本,こんぽん,"foundation, root, base",N1,konpon,2,15
145,財,ざい,"fortune, riches",N1,zai,1,10
146,再会,さいかい,"meeting again, reunion",N1,saikai,2,12
147,災害,さいがい,"calamity, disaster, misfortune",N1,saigai,2,17
148,細菌,さいきん,"bacillus, bacterium, germ",N1,saikin,2,22
149,細工,さいく,"work, craftsmanship, trick",N1,saiku,2,14
150,採掘,さいくつ,mining,N1,saikutsu,2,22
151,サイクル,サイクル,cycle,N1,saikuru,4,9
152,採決,さいけつ,"vote, roll call",N1,saiketsu,2,18
153,再建,さいけん,(temple or shrine) rebuilding,N1,saiken,2,15
154,再現,さいげん,"reproduction, return, revival",N1,saigen,2,17
155,財源,ざいげん,"source of funds, resources, finances",N1,zaigen,2,23
156,在庫,ざいこ,"stockpile, stock",N1,zaiko,2,16
157,採算,さいさん,profit,N1,saisan,2,25
158,サイズ,サイズ,size,N1,saizu,3,9
159,再生,さいせい,"playback, regeneration, resuscitation",N1,saisei,2,11
160,財政,ざいせい,"economy, financial affairs",N1,zaisei,2,19
161,最善,さいぜん,the very best,N1,saizen,2,24
162,採択,さいたく,"adoption, selection, choice",N1,saitaku,2,18
163,栽培,さいばい,cultivation,N1,saibai,2,21
164,再発,さいはつ,"return, relapse, reoccurrence",N1,saihatsu,2,15
165,細胞,さいぼう,cell,N1,saibou,2,20
166,採用,さいよう,"use, adopt",N1,saiyou,2,16
167,遮る,さえぎる,"to interrupt, to intercept, to obstruct",N1,saegiru,2,15
168,さえずる,さえずる,"to sing, to chirp, to twitter",N1,saezuru,4,9
169,冴える,さえる,"to be clear, to be bright, to be skillful",N1,saeru,3,10
170,竿,さお,"rod, pole (e.g., for drying laundry)",N1,sao,1,9
171,栄える,さかえる,"to flourish, to prosper, to thrive",N1,sakaeru,3,12
172,差額,さがく,"balance, difference, margin",N1,sagaku,2,28
173,杯,さかずき,wine cup,N1,sakazuki,1,8
174,逆立ち,さかだち,"handstand, headstand",N1,sakadachi,3,16
175,さきに (いぜん),さきに (いぜん),"before, earlier than, previously",N1,sakini (izen),9,16
176,詐欺,さぎ,"fraud, swindle",N1,sagi,2,24
177,削減,さくげん,"cut, reduction",N1,sakugen,2,21
178,錯誤,さくご,mistake,N1,sakugo,2,30
179,作戦,さくせん,"military operations, tactics, strategy",N1,sakusen,2,20
180,叫び,さけび,"shout, scream, outcry",N1,sakebi,2,9
181,捧げる,ささげる,"to lift up, to give, to offer",N1,sasageru,3,17
182,差し掛かる,さしかかる,"to come near to, to approach",N1,sashikakaru,5,26
183,指図,さしず,"instruction, mandate",N1,sashizu,2,16
184,差し出す,さしだす,"to present, to submit, to hold out",N1,sashidasu,4,18
185,差し支える,さしつかえる,"to interfere, to hinder",N1,sashitsukaeru,5,18
186,授ける,さずける,"to grant, to award, to teach",N1,sazukeru,3,15
187,摩する,さする,"to rub, to stroke",N1,sasuru,3,18
188,さぞ (さぞや。さぞかし),さぞ (さぞや。さぞかし),"I am sure, certainly, no doubt",N1,sazo (sazoya。sazokashi),13,22
189,定まる,さだまる,"to become settled, to be fixed",N1,sadamaru,3,12
190,定める,さだめる,"to decide, to determine",N1,sadameru,3,11
191,座談会,ざだんかい,"symposium, round-table discussion",N1,zadankai,3,31
192,雑,ざつ,"rough, crude",N1,zatsu,1,14
193,雑貨,ざっか,"miscellaneous goods, general goods",N1,zakka,2,25
194,殺人,さつじん,murder,N1,satsujin,2,12
195,察する,さっする,"to guess, to sense, to judge",N1,sassuru,3,17
196,雑談,ざつだん,"chatting, idle talk",N1,zatsudan,2,29
197,さっと,さっと,"suddenly, smoothly",N1,satto,3,5
198,さっぱりする,さっぱりする,to refresh,N1,sapparisuru,6,12
199,悟る,さとる,"to attain enlightenment, to understand",N1,satoru,2,11
200,最中,さなか,"in the middle of, midst",N1,sanaka,2,16
201,座標,ざひょう,coordinates,N1,zahyou,2,25
202,さほど,さほど,"not so, not that much",N1,sahodo,3,10
203,サボる,サボる,to cut (skip) classes; to loaf on the job; to idle away one's time,N1,saboru,3,10
204,様,さま,state; way (a person does something); Mr. or Mrs.,N1,sama,1,14
205,寒気,さむけ,"chill, shiver, cold",N1,samuke,2,18
206,侍,さむらい,samurai,N1,samurai,1,8
207,さも,さも,"with gusto, with satisfaction",N1,samo,2,5
208,作用,さよう,"operation, effect, function",N1,sayou,2,12
209,さらう (こどもを～),さらう (こどもを～),to kidnap,N1,sarau (kodomowo～),11,18
210,障る,さわる,"to hinder, to interfere with, to affect",N1,sawaru,2,15
211,酸,さん,acid,N1,san,1,14
212,山岳,さんがく,mountains,N1,sangaku,2,11
213,参議院,さんぎいん,House of Councilors,N1,sangiin,3,38
214,産休,さんきゅう,maternity leave,N1,sankyuu,2,17
215,サンキュー,サンキュー,thank you,N1,sankyuー,5,10
216,残金,ざんきん,remaining money,N1,zankin,2,18
217,産後,さんご,"postpartum, after childbirth",N1,sango,2,20
218,残酷,ざんこく,"cruelty, harshness",N1,zankoku,2,24
219,産出,さんしゅつ,"yield, produce",N1,sanshutsu,2,16
220,参照,さんしょう,"reference, consultation, consultation",N1,sanshou,2,21
221,参上,さんじょう,"calling on, visiting",N1,sanjou,2,11
222,残高,ざんだか,"(bank) balance, remainder",N1,zandaka,2,20
223,サンタクロース,サンタクロース,Santa Claus,N1,santakuroーsu,7,15
224,桟橋,さんばし,"wharf, jetty, pier",N1,sanbashi,2,26
225,賛美,さんび,"praise, adoration, glorification",N1,sanbi,2,24
226,山腹,さんぷく,"hillside, mountainside",N1,sanpuku,2,16
227,産婦人科,さんふじんか,maternity and gynecology department,N1,sanfujinka,4,33
228,産物,さんぶつ,"product, result, fruit",N1,sanbutsu,2,19
229,山脈,さんみゃく,mountain range,N1,sanmyaku,2,13
230,仕上がり,しあがり,"finish, end, completion",N1,shiagari,4,15
231,仕上,しあげ,"end, finishing touches",N1,shiage,2,8
232,仕上げる,しあげる,"to finish up, to complete",N1,shiageru,4,14
233,飼育,しいく,"breeding, raising, rearing",N1,shiiku,2,21
234,強いて,しいて,"to dare, to insist",N1,shiite,3,14
235,シート,シート,seat; sheet,N1,shiーto,3,5
236,ジーパン,ジーパン,jeans,N1,jiーpan,4,10
237,仕入れる,しいれる,"to lay in stock, to replenish stock, to procure",N1,shiireru,4,10
238,強いる,しいる,"to force, to compel, to coerce",N1,shiiru,3,14
239,潮,しお,tide,N1,shio,1,15
240,歯科,しか,dentistry,N1,shika,2,21
241,自我,じが,"self, ego",N1,jiga,2,13
242,自覚,じかく,self-conscious,N1,jikaku,2,18
243,仕掛,しかけ,"device, trick, mechanism",N1,shikake,2,16
244,仕掛ける,しかける,"to lay, to set, to wage",N1,shikakeru,4,20
245,しかしながら,しかしながら,"however, nevertheless",N1,shikashinagara,6,16
246,色彩,しきさい,color,N1,shikisai,2,17
247,式場,しきじょう,"ceremonial hall, place of ceremony (e.g., marriage)",N1,shikijou,2,18
248,しきたり,しきたり,"custom, conventional practice, tradition",N1,shikitari,4,10
249,事業,じぎょう,"project, enterprise, business",N1,jigyou,2,21
250,軽蔑,けいべつ,"scorn, disdain",N1,keibetsu,2,26
251,経歴,けいれき,"personal history, career",N1,keireki,2,25
252,経路,けいろ,"course, route, channel",N1,keiro,2,24
253,けがらわしい,けがらわしい,"filthy, unfair",N1,kegarawashii,6,15
254,劇団,げきだん,"troupe, theatrical company",N1,gekidan,2,21
255,激励,げきれい,encouragement,N1,gekirei,2,23
256,ゲスト,ゲスト,guest,N1,gesuto,3,9
257,獣,けだもの,"beast, brute",N1,kedamono,1,16
258,決,けつ,"decision, vote",N1,ketsu,1,7
259,決意,けつい,"decision, determination",N1,ketsui,2,20
260,結核,けっかく,tuberculosis,N1,kekkaku,2,22
261,決議,けつぎ,"resolution, vote, decision",N1,ketsugi,2,27
262,結合,けつごう,"combination, union",N1,ketsugou,2,18
263,決算,けっさん,"balance sheet, settlement of accounts",N1,kessan,2,21
264,月謝,げっしゃ,monthly tuition fee,N1,gessha,2,21
265,決勝,けっしょう,finals (in sports),N1,kesshou,2,19
266,結晶,けっしょう,"crystal, crystallization",N1,kesshou,2,24
267,結成,けっせい,formation,N1,kessei,2,18
268,結束,けっそく,"union, unity",N1,kessoku,2,19
269,げっそり,げっそり,"being disheartened, losing weight",N1,gessori,4,9
270,決断,けつだん,"decision, determination",N1,ketsudan,2,18
271,月賦,げっぷ,monthly installment,N1,geppu,2,19
272,欠乏,けつぼう,shortage,N1,ketsubou,2,8
273,蹴飛ばす,けとばす,"to kick away, to kick (someone)",N1,ketobasu,4,35
274,けなす,けなす,to speak ill of,N1,kenasu,3,9
275,煙たい,けむたい,"smoky, feeling awkward",N1,kemutai,3,19
276,煙る,けむる,"to smoke (e.g., fire)",N1,kemuru,2,14
277,獣,けもの,"beast, brute",N1,kemono,1,16
278,家来,けらい,"retainer, retinue, servant",N1,kerai,2,17
279,下痢,げり,diarrhea,N1,geri,2,15
280,権威,けんい,"authority, power, influence",N1,keni,2,24
281,兼業,けんぎょう,holding two jobs at the same time,N1,kengyou,2,23
282,原形,げんけい,"original form, base form",N1,genkei,2,17
283,原型,げんけい,"prototype, model, archetypal",N1,genkei,2,19
284,権限,けんげん,"power, authority, jurisdiction",N1,kengen,2,24
285,現行,げんこう,"present, current, in operation",N1,genkou,2,17
286,健在,けんざい,"in good health, well",N1,kenzai,2,17
287,原作,げんさく,original work,N1,gensaku,2,17
288,検事,けんじ,public prosecutor,N1,kenji,2,20
289,原子,げんし,atom,N1,genshi,2,13
290,元首,げんしゅ,"ruler, sovereign",N1,genshu,2,13
291,原書,げんしょ,original document,N1,gensho,2,20
292,懸賞,けんしょう,"offering prizes, winning, reward",N1,kenshou,2,35
293,健全,けんぜん,"health, soundness, wholesome",N1,kenzen,2,17
294,元素,げんそ,element,N1,genso,2,14
295,同調,どうちょう,"sympathy, agree with, alignment",N1,douchou,2,21
296,到底,とうてい,(cannot) possibly,N1,toutei,2,16
297,動的,どうてき,"dynamic, kinetic",N1,douteki,2,19
298,尊い,とうとい,"precious, valuable, noble",N1,toutoi,2,14
299,貴い,とうとい,"precious, valuable, noble",N1,toutoi,2,14
300,同等,どうとう,"equality, equal, same rank",N1,doutou,2,18
301,堂々,どうどう,"magnificent, grand, impressive",N1,doudou,2,11
302,尊ぶ,とうとぶ,"to value, to prize, to esteem",N1,toutobu,2,18
303,どうにか,どうにか,"in some way or other, one way or another",N1,dounika,4,12
304,投入,とうにゅう,"throw, investment, making (an electrical circuit)",N1,tounyuu,2,9
305,導入,どうにゅう,"introduction, bringing in, leading in",N1,dounyuu,2,17
306,当人,とうにん,"the one concerned, the said person",N1,tounin,2,8
307,同封,どうふう,"enclosure (e.g., in a letter)",N1,doufuu,2,15
308,逃亡,とうぼう,escape,N1,toubou,2,12
309,冬眠,とうみん,"hibernation, winter sleep",N1,toumin,2,15
310,同盟,どうめい,"alliance, union, league",N1,doumei,2,19
311,どうやら,どうやら,"it seems like, somehow or other",N1,douyara,4,11
312,動力,どうりょく,"power, motive power, dynamic force",N1,douryoku,2,13
313,登録,とうろく,"registration, register, record",N1,touroku,2,28
314,討論,とうろん,discussion; debate,N1,touron,2,25
315,遠ざかる,とおざかる,to go far off,N1,toozakaru,4,21
316,遠回り,とおまわり,"detour, roundabout way",N1,toomawari,3,21
317,トーン,トーン,tone,N1,toーn,3,4
318,とかく,とかく,"anyhow, anyway, in any case",N1,tokaku,3,6
319,とがめる,とがめる,"to blame, to rebuke",N1,togameru,4,10
320,時折,ときおり,sometimes,N1,tokiori,2,17
321,とぎれる,とぎれる,"to pause, to be interrupted",N1,togireru,4,10
322,研ぐ,とぐ,"to sharpen, to grind, to polish",N1,togu,2,12
323,特技,とくぎ,special talent; skill,N1,tokugi,2,17
324,独裁,どくさい,"dictatorship, despotism",N1,dokusai,2,21
325,特産,とくさん,"specialty, special product",N1,tokusan,2,21
326,独自,どくじ,"original, peculiar, characteristic",N1,dokuji,2,15
327,特集,とくしゅう,"feature (e.g., newspaper, special edition, report)",N1,tokushuu,2,22
328,独占,どくせん,monopoly,N1,dokusen,2,14
329,独創,どくそう,originality,N1,dokusou,2,21
330,得点,とくてん,"score, points made",N1,tokuten,2,20
331,特派,とくは,"send specially, special envoy",N1,tokuha,2,19
332,特有,とくゆう,"characteristic (of, peculiar (to))",N1,tokuyuu,2,16
333,とげ (をさす),とげ (をさす),thorn,N1,toge (wosasu),8,14
334,遂げる,とげる,"to accomplish, to achieve, to carry out",N1,togeru,3,18
335,～どころか,～どころか,"rather, far from",N1,～dokoroka,5,10
336,年頃,としごろ,"age, marriageable age, adolescence",N1,toshigoro,2,17
337,戸締り,とじまり,"closing up, locking the doors",N1,tojimari,3,21
338,途上,とじょう,"en/in route, half way",N1,tojou,2,13
339,土台,どだい,"foundation, base, basis",N1,dodai,2,8
340,途絶える,とだえる,"to stop, to cease, to come to an end",N1,todaeru,4,25
341,特許,とっきょ,"special permission, patent",N1,tokkyo,2,21
342,特権,とっけん,"privilege, special right",N1,tokken,2,25
343,とっさに,とっさに,at once,N1,tossani,4,8
344,突如,とつじょ,"suddenly, all of a sudden",N1,totsujo,2,14
345,とって,とって,"handle, grip, knob",N1,totte,3,4
346,突破,とっぱ,"breaking through, breakthrough, penetration",N1,toppa,2,18
347,土手,どて,"embankment, bank",N1,dote,2,7
348,届,とどけ,"report, notification, registration",N1,todoke,1,8
349,滞る,とどこおる,"to stagnate, to be delayed",N1,todokooru,2,14
350,整える,ととのえる,"to put in order, to arrange, to adjust; to get ready, to prepare; to raise money",N1,totonoeru,3,19
351,止める,とどめる,"to end, to stop, to cease, to resign",N1,todomeru,3,7
352,唱える,となえる,"to recite, to chant, to call upon",N1,tonaeru,3,14
353,殿様,とのさま,feudal lord,N1,tonosama,2,27
354,土俵,どひょう,arena,N1,dohyou,2,13
355,扉,とびら,"door, opening",N1,tobira,1,12
356,溝,どぶ,"ditch, drain, gap",N1,dobu,1,13
357,徒歩,とほ,"walking, going on foot",N1,toho,2,18
358,土木,どぼく,public works,N1,doboku,2,7
359,とぼける,とぼける,"to play dumb, to feign ignorance, to play innocent, to have a blank facial expression; to play the fool; to be in one's dotage",N1,tobokeru,4,12
360,乏しい,とぼしい,"meager, scarce, hard up, poor",N1,toboshii,3,7
361,富,とみ,"wealth, fortune",N1,tomi,1,12
362,富む,とむ,"to be rich, to become rich",N1,tomu,2,15
363,共稼ぎ,ともかせぎ,"working together, (husband and wife) earning a living together",N1,tomokasegi,3,26
364,伴う,ともなう,"to accompany, to bring with",N1,tomonau,2,9
365,共働き,ともばたらき,dual income (husband and wife both working),N1,tomobataraki,3,22
366,ドライ,ドライ,dry,N1,dorai,3,8
367,ドライクリーニング,ドライクリーニング,dry cleaning,N1,doraikuriーningu,9,20
368,ドライバー,ドライバー,"driver, screwdriver",N1,doraibaー,5,12
369,ドライブイン,ドライブイン,drive in,N1,doraibuin,6,15
370,トラブル,トラブル,trouble (sometimes used as a verb),N1,toraburu,4,9
371,トランジスター,トランジスター,transistor,N1,toranjisutaー,7,16
372,とりあえず,とりあえず,"at once, first of all, for the time being",N1,toriaezu,5,13
373,取扱,とりあつかい,"treatment, handling, management",N1,toriatsukai,2,14
374,取り扱う,とりあつかう,"to treat, to handle, to deal in",N1,toriatsukau,4,18
375,鳥居,とりい,Shinto shrine archway,N1,torii,2,19
376,取り替え,とりかえ,"swap, exchange",N1,torikae,4,24
377,取り組む,とりくむ,"to tackle, to engage in a bout, to come to grips with",N1,torikumu,4,24
378,取締り,とりしまり,"control, crackdown, supervision",N1,torishimari,3,25
379,取り締まる,とりしまる,"to crack down, to control, to supervise",N1,torishimaru,5,29
380,取り調べる,とりしらべる,"to investigate, to examine",N1,torishiraberu,5,29
381,取り立てる,とりたてる,"to collect, to extort",N1,toritateru,5,17
382,取り次ぐ,とりつぐ,"to act as an agent for, to announce (someone), to convey (a message)",N1,toritsugu,4,19
383,取り付ける,とりつける,"to furnish, to install; to get someone's agreement",N1,toritsukeru,5,19
384,取り除く,とりのぞく,"to remove, to take away, to set apart",N1,torinozoku,4,21
385,取引,とりひき,"transactions, dealings, business",N1,torihiki,2,12
386,取り巻く,とりまく,"to surround, to circle, to enclose",N1,torimaku,4,20
387,取り混ぜる,とりまぜる,"to mix, to put together",N1,torimazeru,5,27
388,取り戻す,とりもどす,"to take back, to regain",N1,torimodosu,4,19
389,取り寄せる,とりよせる,"to order, to send away for",N1,toriyoseru,5,25
390,ドリル,ドリル,drill,N1,doriru,3,8
391,副,とりわけ,"especially, above all",N1,toriwake,1,11
392,とろける,とろける,melt; to be enchanted with,N1,torokeru,4,7
393,鈍感,どんかん,"thickheadedness, stolidity",N1,donkan,2,25
394,とんだ,とんだ,"terrible, awful, serious, absolutely not",N1,tonda,3,9
395,度忘れ,どわすれ,"lapse of memory, forget for a moment",N1,dowasure,3,18
396,問屋,とんや,wholesale store,N1,tonya,2,20
397,内閣,ないかく,"cabinet, (government)",N1,naikaku,2,18
398,乃至,ないし,"from...to, between...and, or",N1,naishi,2,8
399,内緒,ないしょ,"secrecy, privacy, secret",N1,naisho,2,18
400,内心,ないしん,"innermost thoughts, real intention, inmost heart",N1,naishin,2,8
401,内蔵,ないぞう,internal organ; built-in,N1,naizou,2,19
402,ナイター,ナイター,"game under lights (e.g., baseball), night game",N1,naitaー,4,7
403,内部,ないぶ,"interior, inside, internal",N1,naibu,2,15
404,内乱,ないらん,"civil war, domestic conflict",N1,nairan,2,11
405,内陸,ないりく,inland,N1,nairiku,2,15
406,苗,なえ,rice seedling,N1,nae,1,8
407,なおさら,なおさら,"all the more, still less",N1,naosara,4,11
408,流し,ながし,sink,N1,nagashi,2,11
409,長々,ながなが,"long, drawn-out, very long",N1,naganaga,2,8
410,中程,なかほど,"middle, midway",N1,nakahodo,2,16
411,渚,なぎさ,"water's edge, beach, shore",N1,nagisa,1,11
412,嘆く,なげく,"to sigh, to lament, to grieve",N1,nageku,2,14
413,投げ出す,なげだす,"to abandon, to throw out",N1,nagedasu,4,19
414,仲人,なこうど,"go-between, matchmaker",N1,nakoudo,2,8
415,和やか,なごやか,"mild, calm, harmonious",N1,nagoyaka,3,14
416,名残,なごり,"remains, traces, memory",N1,nagori,2,16
417,情け,なさけ,"sympathy, compassion",N1,nasake,2,14
418,情無い,なさけない,"miserable, pitiable, shameful",N1,nasakenai,3,25
419,情深い,なさけぶかい,"tender-hearted, compassionate",N1,nasakebukai,3,24
420,詰る,なじる,"to rebuke, to scold, to tell off",N1,najiru,2,14
421,名高い,なだかい,"famous, celebrated, well-known",N1,nadakai,3,18
