whole_word,whole_word_furigana,whole_word_romaji,whole_word_translation,jlpt_level,character,kanji_use_count,kanji_stroke_count,kanji_translation,kun_readings,kun_romaji,on_readings,on_romaji,radical_basis,radical_meaning,kana_romaji,kana_stroke_count,char_type
タイマー,タイマー,taimaー,timer,N1,タ,,,,,,,,,,ta,3.0,kana
タイマー,タイマー,taimaー,timer,N1,イ,,,,,,,,,,i,2.0,kana
タイマー,タイマー,taimaー,timer,N1,マ,,,,,,,,,,ma,2.0,kana
タイマー,タイマー,taimaー,timer,N1,ー,,,,,,,,,,,,kana
怠慢,たいまん,taiman,"negligence, carelessness",N1,怠,3.0,9.0,"neglect, laziness","おこた.る, なま.ける","okota.ru, nama.keru",タイ,tai,心,heart,,,kanji
怠慢,たいまん,taiman,"negligence, carelessness",N1,慢,3.0,14.0,"ridicule, laziness",,,マン,man,心,heart,,,kanji
タイミング,タイミング,taimingu,timing,N1,タ,,,,,,,,,,ta,3.0,kana
タイミング,タイミング,taimingu,timing,N1,イ,,,,,,,,,,i,2.0,kana
タイミング,タイミング,taimingu,timing,N1,ミ,,,,,,,,,,mi,3.0,kana
タイミング,タイミング,taimingu,timing,N1,ン,,,,,,,,,,n,2.0,kana
タイミング,タイミング,taimingu,timing,N1,グ,,,,,,,,,,gu,4.0,kana
タイム,タイム,taimu,time,N1,タ,,,,,,,,,,ta,3.0,kana
タイム,タイム,taimu,time,N1,イ,,,,,,,,,,i,2.0,kana
タイム,タイム,taimu,time,N1,ム,,,,,,,,,,mu,2.0,kana
タイムリー,タイムリー,taimuriー,"timely, run-batted-in (baseball), RBI",N1,タ,,,,,,,,,,ta,3.0,kana
タイムリー,タイムリー,taimuriー,"timely, run-batted-in (baseball), RBI",N1,イ,,,,,,,,,,i,2.0,kana
タイムリー,タイムリー,taimuriー,"timely, run-batted-in (baseball), RBI",N1,ム,,,,,,,,,,mu,2.0,kana
タイムリー,タイムリー,taimuriー,"timely, run-batted-in (baseball), RBI",N1,リ,,,,,,,,,,ri,2.0,kana
タイムリー,タイムリー,taimuriー,"timely, run-batted-in (baseball), RBI",N1,ー,,,,,,,,,,,,kana
対面,たいめん,taimen,"interview, meeting",N1,対,21.0,7.0,"vis-a-vis, opposite, even, equal, versus, anti-, compare","あいて, こた.える, そろ.い, つれあ.い, なら.ぶ, むか.う","aite, kota.eru, soro.i, tsurea.i, nara.bu, muka.u","タイ, ツイ","tai, tsui",寸,thumb,,,kanji
対面,たいめん,taimen,"interview, meeting",N1,面,28.0,9.0,"mask, face, features, surface","おも, おもて, つら","omo, omote, tsura","メン, ベン","men, ben",面,face,,,kanji
代用,だいよう,daiyou,substitution,N1,代,21.0,5.0,"substitute, change, convert, replace, period, age, counter for decades of ages, eras, etc., generation, charge, rate, fee","か.わる, かわ.る, かわ.り, か.わり, -がわ.り, -が.わり, か.える, よ, しろ","ka.waru, kawa.ru, kawa.ri, ka.wari, -gawa.ri, -ga.wari, ka.eru, yo, shiro","ダイ, タイ","dai, tai",人,man,,,kanji
代用,だいよう,daiyou,substitution,N1,用,34.0,5.0,"utilize, business, service, use, employ",もち.いる,mochi.iru,ヨウ,you,用,use,,,kanji
体力,たいりょく,tairyoku,physical strength,N1,体,35.0,7.0,"body, substance, object, reality, counter for images","からだ, かたち","karada, katachi","タイ, テイ","tai, tei",人,man,,,kanji
体力,たいりょく,tairyoku,physical strength,N1,力,31.0,2.0,"power, strength, strong, strain, bear up, exert",ちから,chikara,"リョク, リキ, リイ","ryoku, riki, rii",力,power,,,kanji
タイル,タイル,tairu,tile,N1,タ,,,,,,,,,,ta,3.0,kana
タイル,タイル,tairu,tile,N1,イ,,,,,,,,,,i,2.0,kana
タイル,タイル,tairu,tile,N1,ル,,,,,,,,,,ru,2.0,kana
対話,たいわ,taiwa,"conversation, dialogue",N1,対,21.0,7.0,"vis-a-vis, opposite, even, equal, versus, anti-, compare","あいて, こた.える, そろ.い, つれあ.い, なら.ぶ, むか.う","aite, kota.eru, soro.i, tsurea.i, nara.bu, muka.u","タイ, ツイ","tai, tsui",寸,thumb,,,kanji
対話,たいわ,taiwa,"conversation, dialogue",N1,話,16.0,13.0,"tale, talk","はな.す, はなし","hana.su, hanashi",ワ,wa,言,speech,,,kanji
耐える,たえる,taeru,"to endure, to put up with",N1,耐,1.0,9.0,"-proof, enduring",た.える,ta.eru,タイ,tai,而,beard,,,kanji
耐える,たえる,taeru,"to endure, to put up with",N1,え,,,,,,,,,,e,2.0,kana
耐える,たえる,taeru,"to endure, to put up with",N1,る,,,,,,,,,,ru,1.0,kana
堪える,たえる,taeru,"to endure, to put up with",N1,堪,2.0,12.0,"withstand, endure, support, resist","た.える, たま.る, こら.える, こた.える","ta.eru, tama.ru, kora.eru, kota.eru","カン, タン","kan, tan",土,earth,,,kanji
堪える,たえる,taeru,"to endure, to put up with",N1,え,,,,,,,,,,e,2.0,kana
堪える,たえる,taeru,"to endure, to put up with",N1,る,,,,,,,,,,ru,1.0,kana
絶える,たえる,taeru,"to die out, to become extinct",N1,絶,8.0,12.0,"discontinue, sever, cut off, abstain, interrupt, suppress, be beyond, without match, peerless, unparalleled","た.える, た.やす, た.つ","ta.eru, ta.yasu, ta.tsu",ゼツ,zetsu,糸,silk,,,kanji
絶える,たえる,taeru,"to die out, to become extinct",N1,え,,,,,,,,,,e,2.0,kana
絶える,たえる,taeru,"to die out, to become extinct",N1,る,,,,,,,,,,ru,1.0,kana
断える,たえる,taeru,"to cease, to become extinct",N1,断,15.0,11.0,"severance, decline, refuse, apologize, warn, dismiss, prohibit, decision, judgement, cutting","た.つ, ことわ.る, さだ.める","ta.tsu, kotowa.ru, sada.meru",ダン,dan,斤,axe,,,kanji
断える,たえる,taeru,"to cease, to become extinct",N1,え,,,,,,,,,,e,2.0,kana
断える,たえる,taeru,"to cease, to become extinct",N1,る,,,,,,,,,,ru,1.0,kana
打開,だかい,dakai,"solution, breakthrough",N1,打,11.0,5.0,"strike, hit, knock, pound, dozen","う.つ, う.ち-, ぶ.つ","u.tsu, u.chi-, bu.tsu","ダ, ダース","da, daーsu",手,hand,,,kanji
打開,だかい,dakai,"solution, breakthrough",N1,開,14.0,12.0,"open, unfold, unseal","ひら.く, ひら.き, -びら.き, ひら.ける, あ.く, あ.ける","hira.ku, hira.ki, -bira.ki, hira.keru, a.ku, a.keru",カイ,kai,門,gate,,,kanji
焚火,たきび,takibi,(open) fire,N1,焚,2.0,12.0,"burn, kindle, build a fire, boil, cook","た.く, や.く, やきがり","ta.ku, ya.ku, yakigari","フン, ホン, ハン","fun, hon, han",火,fire,,,kanji
焚火,たきび,takibi,(open) fire,N1,火,14.0,4.0,fire,"ひ, -び, ほ-","hi, -bi, ho-",カ,ka,火,fire,,,kanji
妥協,だきょう,dakyou,"compromise, giving in",N1,妥,3.0,7.0,"gentle, peace, satisfactory, appropriate",,,ダ,da,女,woman,,,kanji
妥協,だきょう,dakyou,"compromise, giving in",N1,協,6.0,8.0,"co-, cooperation",,,キョウ,kyou,十,ten,,,kanji
たくましい,たくましい,takumashii,"burly, strong, sturdy",N1,た,,,,,,,,,,ta,4.0,kana
たくましい,たくましい,takumashii,"burly, strong, sturdy",N1,く,,,,,,,,,,ku,1.0,kana
たくましい,たくましい,takumashii,"burly, strong, sturdy",N1,ま,,,,,,,,,,ma,3.0,kana
たくましい,たくましい,takumashii,"burly, strong, sturdy",N1,し,,,,,,,,,,shi,1.0,kana
たくましい,たくましい,takumashii,"burly, strong, sturdy",N1,い,,,,,,,,,,i,2.0,kana
巧み,たくみ,takumi,"skill, cleverness",N1,巧,3.0,5.0,"adroit, skilled, ingenuity","たく.み, たく.む, うま.い","taku.mi, taku.mu, uma.i",コウ,kou,工,work,,,kanji
巧み,たくみ,takumi,"skill, cleverness",N1,み,,,,,,,,,,mi,2.0,kana
丈,たけ,take,"length, height",N1,丈,4.0,3.0,"length, ten shaku, measure, Mr., Ms., height, stature, all (one has), only, that's all, merely","たけ, だけ","take, dake",ジョウ,jou,一,one,,,kanji
打撃,だげき,dageki,"blow, damage; batting (baseball)",N1,打,11.0,5.0,"strike, hit, knock, pound, dozen","う.つ, う.ち-, ぶ.つ","u.tsu, u.chi-, bu.tsu","ダ, ダース","da, daーsu",手,hand,,,kanji
打撃,だげき,dageki,"blow, damage; batting (baseball)",N1,撃,6.0,15.0,"beat, attack, defeat, conquer",う.つ,u.tsu,ゲキ,geki,手,hand,,,kanji
妥結,だけつ,daketsu,agreement,N1,妥,3.0,7.0,"gentle, peace, satisfactory, appropriate",,,ダ,da,女,woman,,,kanji
妥結,だけつ,daketsu,agreement,N1,結,17.0,12.0,"tie, bind, contract, join, organize, do up hair, fasten","むす.ぶ, ゆ.う, ゆ.わえる","musu.bu, yu.u, yu.waeru","ケツ, ケチ","ketsu, kechi",糸,silk,,,kanji
駄作,ださく,dasaku,poor work,N1,駄,4.0,14.0,"burdensome, pack horse, horse load, send by horse, trivial, worthless",,,"ダ, タ","da, ta",馬,horse,,,kanji
駄作,ださく,dasaku,poor work,N1,作,29.0,7.0,"make, production, prepare, build","つく.る, つく.り, -づく.り","tsuku.ru, tsuku.ri, -zuku.ri","サク, サ","saku, sa",人,man,,,kanji
足し算,たしざん,tashizan,addition,N1,足,18.0,7.0,"leg, foot, be sufficient, counter for pairs of footwear","あし, た.りる, た.る, た.す","ashi, ta.riru, ta.ru, ta.su",ソク,soku,足,foot,,,kanji
足し算,たしざん,tashizan,addition,N1,し,,,,,,,,,,shi,1.0,kana
足し算,たしざん,tashizan,addition,N1,算,13.0,14.0,"calculate, divining, number, abacus, probability",そろ,soro,サン,san,竹,bamboo,,,kanji
多数決,たすうけつ,tasuuketsu,majority rule,N1,多,8.0,6.0,"many, frequent, much","おお.い, まさ.に, まさ.る","oo.i, masa.ni, masa.ru",タ,ta,夕,evening,,,kanji
多数決,たすうけつ,tasuuketsu,majority rule,N1,数,22.0,13.0,"number, strength, fate, law, figures","かず, かぞ.える, しばしば, せ.める, わずらわ.しい","kazu, kazo.eru, shibashiba, se.meru, wazurawa.shii","スウ, ス, サク, ソク, シュ","suu, su, saku, soku, shu",攴,rap,,,kanji
多数決,たすうけつ,tasuuketsu,majority rule,N1,決,21.0,7.0,"decide, fix, agree upon, appoint","き.める, -ぎ.め, き.まる, さ.く","ki.meru, -gi.me, ki.maru, sa.ku",ケツ,ketsu,水,water,,,kanji
助け,たすけ,tasuke,assistance,N1,助,11.0,7.0,"help, rescue, assist","たす.ける, たす.かる, す.ける, すけ","tasu.keru, tasu.karu, su.keru, suke",ジョ,jo,力,power,,,kanji
助け,たすけ,tasuke,assistance,N1,け,,,,,,,,,,ke,3.0,kana
携わる,たずさわる,tazusawaru,"to engage, to involve",N1,携,3.0,13.0,"portable, carry (in hand), armed with, bring along","たずさ.える, たずさ.わる","tazusa.eru, tazusa.waru",ケイ,kei,手,hand,,,kanji
携わる,たずさわる,tazusawaru,"to engage, to involve",N1,わ,,,,,,,,,,wa,2.0,kana
携わる,たずさわる,tazusawaru,"to engage, to involve",N1,る,,,,,,,,,,ru,1.0,kana
漂う,ただよう,tadayou,"to drift about, to float, to hang in air",N1,漂,1.0,14.0,"drift, float (on liquid)",ただよ.う,tadayo.u,ヒョウ,hyou,水,water,,,kanji
漂う,ただよう,tadayou,"to drift about, to float, to hang in air",N1,う,,,,,,,,,,u,2.0,kana
立ち去る,たちさる,tachisaru,"to leave, to depart",N1,立,36.0,5.0,"stand up, rise, set up, erect","た.つ, -た.つ, た.ち-, た.てる, -た.てる, た.て-, たて-, -た.て, -だ.て, -だ.てる","ta.tsu, -ta.tsu, ta.chi-, ta.teru, -ta.teru, ta.te-, tate-, -ta.te, -da.te, -da.teru","リツ, リュウ, リットル","ritsu, ryuu, rittoru",立,stand,,,kanji
立ち去る,たちさる,tachisaru,"to leave, to depart",N1,ち,,,,,,,,,,chi,2.0,kana
立ち去る,たちさる,tachisaru,"to leave, to depart",N1,去,5.0,5.0,"gone, past, quit, leave, elapse, eliminate, divorce","さ.る, -さ.る","sa.ru, -sa.ru","キョ, コ","kyo, ko",厶,private,,,kanji
立ち去る,たちさる,tachisaru,"to leave, to depart",N1,る,,,,,,,,,,ru,1.0,kana
立ち寄る,たちよる,tachiyoru,"to stop by, to drop in for a short visit",N1,立,36.0,5.0,"stand up, rise, set up, erect","た.つ, -た.つ, た.ち-, た.てる, -た.てる, た.て-, たて-, -た.て, -だ.て, -だ.てる","ta.tsu, -ta.tsu, ta.chi-, ta.teru, -ta.teru, ta.te-, tate-, -ta.te, -da.te, -da.teru","リツ, リュウ, リットル","ritsu, ryuu, rittoru",立,stand,,,kanji
立ち寄る,たちよる,tachiyoru,"to stop by, to drop in for a short visit",N1,ち,,,,,,,,,,chi,2.0,kana
立ち寄る,たちよる,tachiyoru,"to stop by, to drop in for a short visit",N1,寄,14.0,11.0,"draw near, stop in, bring near, gather, collect, send, forward","よ.る, -よ.り, よ.せる","yo.ru, -yo.ri, yo.seru",キ,ki,宀,roof,,,kanji
立ち寄る,たちよる,tachiyoru,"to stop by, to drop in for a short visit",N1,る,,,,,,,,,,ru,1.0,kana
抱っこ,だっこ,dakko,(child's) hug,N1,抱,6.0,8.0,"embrace, hug, hold in arms","だ.く, いだ.く, かか.える","da.ku, ida.ku, kaka.eru",ホウ,hou,手,hand,,,kanji
抱っこ,だっこ,dakko,(child's) hug,N1,っ,,,,,,,,,,,,kana
抱っこ,だっこ,dakko,(child's) hug,N1,こ,,,,,,,,,,ko,2.0,kana
達者,たっしゃ,tassha,"skillful, in good health",N1,達,10.0,12.0,"accomplished, reach, arrive, attain",-たち,-tachi,"タツ, ダ","tatsu, da",辵,walk,,,kanji
達者,たっしゃ,tassha,"skillful, in good health",N1,者,18.0,8.0,"someone, person",もの,mono,シャ,sha,老,old,,,kanji
脱出,だっしゅつ,dasshutsu,escape,N1,脱,5.0,11.0,"undress, removing, escape from, get rid of, be left out, take off","ぬ.ぐ, ぬ.げる","nu.gu, nu.geru",ダツ,datsu,肉,meat,,,kanji
脱出,だっしゅつ,dasshutsu,escape,N1,出,71.0,5.0,"exit, leave, go out, come out, put out, protrude","で.る, -で, だ.す, -だ.す, い.でる, い.だす","de.ru, -de, da.su, -da.su, i.deru, i.dasu","シュツ, スイ","shutsu, sui",凵,container,,,kanji
脱する,だっする,dassuru,"to escape from, to get out",N1,脱,5.0,11.0,"undress, removing, escape from, get rid of, be left out, take off","ぬ.ぐ, ぬ.げる","nu.gu, nu.geru",ダツ,datsu,肉,meat,,,kanji
脱する,だっする,dassuru,"to escape from, to get out",N1,す,,,,,,,,,,su,2.0,kana
脱する,だっする,dassuru,"to escape from, to get out",N1,る,,,,,,,,,,ru,1.0,kana
達成,たっせい,tassei,achievement,N1,達,10.0,12.0,"accomplished, reach, arrive, attain",-たち,-tachi,"タツ, ダ","tatsu, da",辵,walk,,,kanji
達成,たっせい,tassei,achievement,N1,成,20.0,6.0,"turn into, become, get, grow, elapse, reach","な.る, な.す, -な.す","na.ru, na.su, -na.su","セイ, ジョウ","sei, jou",戈,spear,,,kanji
脱退,だったい,dattai,"secession, withdrawal",N1,脱,5.0,11.0,"undress, removing, escape from, get rid of, be left out, take off","ぬ.ぐ, ぬ.げる","nu.gu, nu.geru",ダツ,datsu,肉,meat,,,kanji
脱退,だったい,dattai,"secession, withdrawal",N1,退,12.0,9.0,"retreat, withdraw, retire, resign, repel, expel, reject","しりぞ.く, しりぞ.ける, ひ.く, の.く, の.ける, ど.く","shirizo.ku, shirizo.keru, hi.ku, no.ku, no.keru, do.ku",タイ,tai,辵,walk,,,kanji
だったら,だったら,dattara,if it's the case,N1,だ,,,,,,,,,,da,6.0,kana
だったら,だったら,dattara,if it's the case,N1,っ,,,,,,,,,,,,kana
だったら,だったら,dattara,if it's the case,N1,た,,,,,,,,,,ta,4.0,kana
だったら,だったら,dattara,if it's the case,N1,ら,,,,,,,,,,ra,2.0,kana
立て替える,たてかえる,tatekaeru,"to pay in advance, to pay for another",N1,立,36.0,5.0,"stand up, rise, set up, erect","た.つ, -た.つ, た.ち-, た.てる, -た.てる, た.て-, たて-, -た.て, -だ.て, -だ.てる","ta.tsu, -ta.tsu, ta.chi-, ta.teru, -ta.teru, ta.te-, tate-, -ta.te, -da.te, -da.teru","リツ, リュウ, リットル","ritsu, ryuu, rittoru",立,stand,,,kanji
立て替える,たてかえる,tatekaeru,"to pay in advance, to pay for another",N1,て,,,,,,,,,,te,1.0,kana
立て替える,たてかえる,tatekaeru,"to pay in advance, to pay for another",N1,替,10.0,12.0,"exchange, spare, substitute, per-","か.える, か.え-, か.わる","ka.eru, ka.e-, ka.waru",タイ,tai,曰,say,,,kanji
立て替える,たてかえる,tatekaeru,"to pay in advance, to pay for another",N1,え,,,,,,,,,,e,2.0,kana
立て替える,たてかえる,tatekaeru,"to pay in advance, to pay for another",N1,る,,,,,,,,,,ru,1.0,kana
建前,たてまえ,tatemae,position; stance one takes in public; principle,N1,建,10.0,9.0,build,"た.てる, た.て, -だ.て, た.つ","ta.teru, ta.te, -da.te, ta.tsu","ケン, コン","ken, kon",廴,long,,,kanji
建前,たてまえ,tatemae,position; stance one takes in public; principle,N1,前,25.0,9.0,"in front, before","まえ, -まえ","mae, -mae",ゼン,zen,刀,knife,,,kanji
奉る,たてまつる,tatematsuru,"to offer, to do respectfully",N1,奉,2.0,8.0,"observance, offer, present, dedicate","たてまつ.る, まつ.る, ほう.ずる","tatematsu.ru, matsu.ru, hou.zuru","ホウ, ブ","hou, bu",大,big,,,kanji
奉る,たてまつる,tatematsuru,"to offer, to do respectfully",N1,る,,,,,,,,,,ru,1.0,kana
だと,だと,dato,if it's the case,N1,だ,,,,,,,,,,da,6.0,kana
だと,だと,dato,if it's the case,N1,と,,,,,,,,,,to,2.0,kana
他動詞,たどうし,tadoushi,transitive verb (direct object),N1,他,6.0,5.0,"other, another, the others",ほか,hoka,タ,ta,人,man,,,kanji
他動詞,たどうし,tadoushi,transitive verb (direct object),N1,動,30.0,11.0,"move, motion, change, confusion, shift, shake","うご.く, うご.かす","ugo.ku, ugo.kasu",ドウ,dou,力,power,,,kanji
他動詞,たどうし,tadoushi,transitive verb (direct object),N1,詞,13.0,12.0,"part of speech, words, poetry",ことば,kotoba,シ,shi,言,speech,,,kanji
辿り着く,たどりつく,tadoritsuku,"to reach, to make it somehow",N1,辿,2.0,6.0,"follow (road), pursue","たど.る, たどり","tado.ru, tadori",テン,ten,辵,walk,,,kanji
辿り着く,たどりつく,tadoritsuku,"to reach, to make it somehow",N1,り,,,,,,,,,,ri,2.0,kana
辿り着く,たどりつく,tadoritsuku,"to reach, to make it somehow",N1,着,28.0,12.0,"don, arrive, wear, counter for suits of clothing","き.る, き.せる, つ.く, つ.ける","ki.ru, ki.seru, tsu.ku, tsu.keru","チャク, ジャク","chaku, jaku",目,eye,,,kanji
辿り着く,たどりつく,tadoritsuku,"to reach, to make it somehow",N1,く,,,,,,,,,,ku,1.0,kana
辿る,たどる,tadoru,"to follow (road, to pursue (course), to follow up",N1,辿,2.0,6.0,"follow (road), pursue","たど.る, たどり","tado.ru, tadori",テン,ten,辵,walk,,,kanji
辿る,たどる,tadoru,"to follow (road, to pursue (course), to follow up",N1,る,,,,,,,,,,ru,1.0,kana
束ねる,たばねる,tabaneru,"to tie up in a bundle, to control",N1,束,6.0,7.0,"bundle, sheaf, ream, tie in bundles, govern, manage, control","たば, たば.ねる, つか, つか.ねる","taba, taba.neru, tsuka, tsuka.neru",ソク,soku,木,tree,,,kanji
束ねる,たばねる,tabaneru,"to tie up in a bundle, to control",N1,ね,,,,,,,,,,ne,2.0,kana
束ねる,たばねる,tabaneru,"to tie up in a bundle, to control",N1,る,,,,,,,,,,ru,1.0,kana
だぶだぶ,だぶだぶ,dabudabu,"loose, baggy",N1,だ,,,,,,,,,,da,6.0,kana
だぶだぶ,だぶだぶ,dabudabu,"loose, baggy",N1,ぶ,,,,,,,,,,bu,6.0,kana
だぶだぶ,だぶだぶ,dabudabu,"loose, baggy",N1,だ,,,,,,,,,,da,6.0,kana
だぶだぶ,だぶだぶ,dabudabu,"loose, baggy",N1,ぶ,,,,,,,,,,bu,6.0,kana
他方,たほう,tahou,"another side, on the other hand",N1,他,6.0,5.0,"other, another, the others",ほか,hoka,タ,ta,人,man,,,kanji
他方,たほう,tahou,"another side, on the other hand",N1,方,31.0,4.0,"direction, person, alternative","かた, -かた, -がた","kata, -kata, -gata",ホウ,hou,方,square,,,kanji
多忙,たぼう,tabou,busy,N1,多,8.0,6.0,"many, frequent, much","おお.い, まさ.に, まさ.る","oo.i, masa.ni, masa.ru",タ,ta,夕,evening,,,kanji
多忙,たぼう,tabou,busy,N1,忙,2.0,6.0,"busy, occupied, restless","いそが.しい, せわ.しい, おそ.れる, うれえるさま","isoga.shii, sewa.shii, oso.reru, ureerusama","ボウ, モウ","bou, mou",心,heart,,,kanji
給う,たまう,tamau,"to receive, to grant",N1,給,10.0,12.0,"salary, wage, gift, allow, grant, bestow on","たま.う, たも.う, -たま.え","tama.u, tamo.u, -tama.e",キュウ,kyuu,糸,silk,,,kanji
給う,たまう,tamau,"to receive, to grant",N1,う,,,,,,,,,,u,2.0,kana
魂,たましい,tamashii,"soul, spirit",N1,魂,1.0,14.0,"soul, spirit","たましい, たま","tamashii, tama",コン,kon,鬼,ghost,,,kanji
溜まり,たまり,tamari,"collected things, gathering place, arrears",N1,溜,5.0,13.0,"collect, gather, be in arrears","た.まる, たま.る, た.める, したた.る, たまり, ため","ta.maru, tama.ru, ta.meru, shitata.ru, tamari, tame",リュウ,ryuu,水,water,,,kanji
溜まり,たまり,tamari,"collected things, gathering place, arrears",N1,ま,,,,,,,,,,ma,3.0,kana
溜まり,たまり,tamari,"collected things, gathering place, arrears",N1,り,,,,,,,,,,ri,2.0,kana
賜る,たまわる,tamawaru,"to grant, to bestow",N1,賜,1.0,15.0,"grant, gift, boon, results","たまわ.る, たま.う, たも.う","tamawa.ru, tama.u, tamo.u",シ,shi,貝,shell,,,kanji
賜る,たまわる,tamawaru,"to grant, to bestow",N1,る,,,,,,,,,,ru,1.0,kana
保つ,たもつ,tamotsu,"to keep, to preserve, to sustain",N1,保,13.0,9.0,"protect, guarantee, keep, preserve, sustain, support",たも.つ,tamo.tsu,"ホ, ホウ","ho, hou",人,man,,,kanji
保つ,たもつ,tamotsu,"to keep, to preserve, to sustain",N1,つ,,,,,,,,,,tsu,1.0,kana
たやすい,たやすい,tayasui,"easy, simple, light",N1,た,,,,,,,,,,ta,4.0,kana
たやすい,たやすい,tayasui,"easy, simple, light",N1,や,,,,,,,,,,ya,3.0,kana
たやすい,たやすい,tayasui,"easy, simple, light",N1,す,,,,,,,,,,su,2.0,kana
たやすい,たやすい,tayasui,"easy, simple, light",N1,い,,,,,,,,,,i,2.0,kana
多様,たよう,tayou,"diversity, variety",N1,多,8.0,6.0,"many, frequent, much","おお.い, まさ.に, まさ.る","oo.i, masa.ni, masa.ru",タ,ta,夕,evening,,,kanji
多様,たよう,tayou,"diversity, variety",N1,様,18.0,14.0,"Esq., way, manner, situation, polite suffix","さま, さん","sama, san","ヨウ, ショウ","you, shou",木,tree,,,kanji
だるい,だるい,darui,"sluggish, feel heavy (tired), languid",N1,だ,,,,,,,,,,da,6.0,kana
だるい,だるい,darui,"sluggish, feel heavy (tired), languid",N1,る,,,,,,,,,,ru,1.0,kana
だるい,だるい,darui,"sluggish, feel heavy (tired), languid",N1,い,,,,,,,,,,i,2.0,kana
弛み,たるみ,tarumi,"slack, slackening",N1,弛,2.0,6.0,"slacken, relax","たる.む, たる.める, たゆ.む, ゆる.む, ゆる.み","taru.mu, taru.meru, tayu.mu, yuru.mu, yuru.mi","チ, シ","chi, shi",弓,bow,,,kanji
弛み,たるみ,tarumi,"slack, slackening",N1,み,,,,,,,,,,mi,2.0,kana
弛む,たるむ,tarumu,"to slacken, to loosen, to relax",N1,弛,2.0,6.0,"slacken, relax","たる.む, たる.める, たゆ.む, ゆる.む, ゆる.み","taru.mu, taru.meru, tayu.mu, yuru.mu, yuru.mi","チ, シ","chi, shi",弓,bow,,,kanji
弛む,たるむ,tarumu,"to slacken, to loosen, to relax",N1,む,,,,,,,,,,mu,3.0,kana
垂れる,たれる,tareru,"to hang, to droop; to drip",N1,垂,2.0,8.0,"droop, suspend, hang, slouch","た.れる, た.らす, た.れ, -た.れ, なんなんと.す","ta.reru, ta.rasu, ta.re, -ta.re, nannanto.su",スイ,sui,土,earth,,,kanji
垂れる,たれる,tareru,"to hang, to droop; to drip",N1,れ,,,,,,,,,,re,2.0,kana
垂れる,たれる,tareru,"to hang, to droop; to drip",N1,る,,,,,,,,,,ru,1.0,kana
タレント,タレント,tarento,"talent, star, personality",N1,タ,,,,,,,,,,ta,3.0,kana
タレント,タレント,tarento,"talent, star, personality",N1,レ,,,,,,,,,,re,1.0,kana
タレント,タレント,tarento,"talent, star, personality",N1,ン,,,,,,,,,,n,2.0,kana
タレント,タレント,tarento,"talent, star, personality",N1,ト,,,,,,,,,,to,2.0,kana
タワー,タワー,tawaー,tower,N1,タ,,,,,,,,,,ta,3.0,kana
タワー,タワー,tawaー,tower,N1,ワ,,,,,,,,,,wa,2.0,kana
タワー,タワー,tawaー,tower,N1,ー,,,,,,,,,,,,kana
単一,たんいつ,tanitsu,"single, simple, sole",N1,単,10.0,9.0,"simple, one, single, merely",ひとえ,hitoe,タン,tan,十,ten,,,kanji
単一,たんいつ,tanitsu,"single, simple, sole",N1,一,63.0,1.0,"one, one radical (no.1)","ひと-, ひと.つ","hito-, hito.tsu","イチ, イツ","ichi, itsu",一,one,,,kanji
短歌,たんか,tanka,31-syllable Japanese poem,N1,短,11.0,12.0,"short, brevity, fault, defect, weak point",みじか.い,mijika.i,タン,tan,矢,arrow,,,kanji
短歌,たんか,tanka,31-syllable Japanese poem,N1,歌,7.0,14.0,"song, sing","うた, うた.う","uta, uta.u",カ,ka,欠,lack,,,kanji
担架,たんか,tanka,"stretcher, litter",N1,担,6.0,8.0,"shouldering, carry, raise, bear","かつ.ぐ, にな.う","katsu.gu, nina.u",タン,tan,手,hand,,,kanji
担架,たんか,tanka,"stretcher, litter",N1,架,2.0,9.0,"erect, frame, mount, support, shelf, construct","か.ける, か.かる","ka.keru, ka.karu",カ,ka,木,tree,,,kanji
短気,たんき,tanki,quick temper,N1,短,11.0,12.0,"short, brevity, fault, defect, weak point",みじか.い,mijika.i,タン,tan,矢,arrow,,,kanji
短気,たんき,tanki,quick temper,N1,気,68.0,6.0,"spirit, mind, air, atmosphere, mood","いき, き","iki, ki","キ, ケ","ki, ke",气,steam,,,kanji
団結,だんけつ,danketsu,"unity, union, solidarity",N1,団,10.0,6.0,"group, association","かたまり, まる.い","katamari, maru.i","ダン, トン","dan, ton",囗,enclosure,,,kanji
団結,だんけつ,danketsu,"unity, union, solidarity",N1,結,17.0,12.0,"tie, bind, contract, join, organize, do up hair, fasten","むす.ぶ, ゆ.う, ゆ.わえる","musu.bu, yu.u, yu.waeru","ケツ, ケチ","ketsu, kechi",糸,silk,,,kanji
探検,たんけん,tanken,"exploration, expedition",N1,探,3.0,11.0,"grope, search, look for","さぐ.る, さが.す","sagu.ru, saga.su",タン,tan,手,hand,,,kanji
探検,たんけん,tanken,"exploration, expedition",N1,検,5.0,12.0,"examination, investigate",しら.べる,shira.beru,ケン,ken,木,tree,,,kanji
断言,だんげん,dangen,"assertion, declaration, affirmation",N1,断,15.0,11.0,"severance, decline, refuse, apologize, warn, dismiss, prohibit, decision, judgement, cutting","た.つ, ことわ.る, さだ.める","ta.tsu, kotowa.ru, sada.meru",ダン,dan,斤,axe,,,kanji
