whole_word,whole_word_furigana,whole_word_romaji,whole_word_translation,jlpt_level,character,kanji_use_count,kanji_stroke_count,kanji_translation,kun_readings,kun_romaji,on_readings,on_romaji,radical_basis,radical_meaning,kana_romaji,kana_stroke_count,char_type
言論,げんろん,genron,"discussion, speech",N1,論,20.0,15.0,"argument, discourse",あげつら.う,agetsura.u,ロン,ron,言,speech,,,kanji
故～,こ～,ko～,"deceased, late",N1,故,7.0,9.0,"happenstance, especially, intentionally, reason, cause, circumstances, the late, therefore, consequently","ゆえ, ふる.い, もと","yue, furu.i, moto",コ,ko,攴,rap,,,kanji
故～,こ～,ko～,"deceased, late",N1,～,,,,,,,,,,,,kana
語彙,ごい,goi,"vocabulary, glossary",N1,語,21.0,14.0,"word, speech, language","かた.る, かた.らう","kata.ru, kata.rau",ゴ,go,言,speech,,,kanji
語彙,ごい,goi,"vocabulary, glossary",N1,彙,1.0,13.0,"same kind, collect, classify, category, hedgehog",はりねずみ,harinezumi,イ,i,彐,pig,,,kanji
恋する,こいする,koisuru,"to fall in love with, to love",N1,恋,6.0,10.0,"romance, in love, yearn for, miss, darling","こ.う, こい, こい.しい","ko.u, koi, koi.shii",レン,ren,心,heart,,,kanji
恋する,こいする,koisuru,"to fall in love with, to love",N1,す,,,,,,,,,,su,2.0,kana
恋する,こいする,koisuru,"to fall in love with, to love",N1,る,,,,,,,,,,ru,1.0,kana
甲,こう,kou,1st in rank; shell,N1,甲,2.0,5.0,"armor, high (voice), A grade, first class, former, instep, carapace",きのえ,kinoe,"コウ, カン","kou, kan",田,field,,,kanji
～光,～こう,～kou,light,N1,～,,,,,,,,,,,,kana
～光,～こう,～kou,light,N1,光,11.0,6.0,"ray, light","ひか.る, ひかり","hika.ru, hikari",コウ,kou,儿,legs,,,kanji
好意,こうい,koui,"good will, favor, courtesy",N1,好,18.0,6.0,"fond, pleasing, like something","この.む, す.く, よ.い, い.い","kono.mu, su.ku, yo.i, i.i",コウ,kou,女,woman,,,kanji
好意,こうい,koui,"good will, favor, courtesy",N1,意,27.0,13.0,"idea, mind, heart, taste, thought, desire, care, liking",,,イ,i,心,heart,,,kanji
行為,こうい,koui,"act, deed, conduct",N1,行,46.0,6.0,"going, journey, carry out, conduct, act, line, row, bank","い.く, ゆ.く, -ゆ.き, -ゆき, -い.き, -いき, おこな.う, おこ.なう","i.ku, yu.ku, -yu.ki, -yuki, -i.ki, -iki, okona.u, oko.nau","コウ, ギョウ, アン","kou, gyou, an",行,go,,,kanji
行為,こうい,koui,"act, deed, conduct",N1,為,7.0,9.0,"do, change, make, benefit, welfare, be of use, reach to, try, practice, cost, serve as, good, advantage, as a result of","ため, な.る, な.す, す.る, たり, つく.る, なり","tame, na.ru, na.su, su.ru, tari, tsuku.ru, nari",イ,i,火,fire,,,kanji
