kanji,count,strokes,kun_readings,on_readings
憎,4,14,"['にく.む', 'にく.い', 'にく.らしい', 'にく.しみ']",['ゾウ']
肉,8,6,['しし'],['ニク']
親,14,16,"['おや', 'おや-', 'した.しい', 'した.しむ']",['シン']
体,35,7,"['からだ', 'かたち']","['タイ', 'テイ']"
西,6,6,['にし'],"['セイ', 'サイ', 'ス']"
日,83,4,"['ひ', '-び', '-か']","['ニチ', 'ジツ']"
滲,1,14,"['し.みる', 'にじ.む']",['シン']
夜,15,8,"['よ', 'よる']",['ヤ']
造,9,10,"['つく.る', 'つく.り', '-づく.り']",['ゾウ']
担,6,8,"['かつ.ぐ', 'にな.う']",['タン']
関,14,14,"['せき', '-ぜき', 'かか.わる', 'からくり', 'かんぬき']",['カン']
浴,5,10,"['あ.びる', 'あ.びせる']",['ヨク']
尿,2,7,"['ゆばり', 'いばり', 'しと']",['ニョウ']
識,6,19,"['し.る', 'しる.す']",['シキ']
妊,1,7,"['はら.む', 'みごも.る']","['ニン', 'ジン']"
娠,1,10,,['シン']
任,10,6,"['まか.せる', 'まか.す']",['ニン']
務,14,11,['つと.める'],['ム']
命,15,8,['いのち'],"['メイ', 'ミョウ']"
抜,5,7,"['ぬ.く', '-ぬ.く', 'ぬ.き', 'ぬ.ける', 'ぬ.かす', 'ぬ.かる']","['バツ', 'ハツ', 'ハイ']"
主,26,5,"['ぬし', 'おも', 'あるじ']","['シュ', 'ス', 'シュウ']"
沼,1,8,['ぬま'],['ショウ']
音,12,9,"['おと', 'ね']","['オン', 'イン', '-ノン']"
値,7,10,"['ね', 'あたい']",['チ']
打,11,5,"['う.つ', 'う.ち-', 'ぶ.つ']","['ダ', 'ダース']"
寝,9,13,"['ね.る', 'ね.かす', 'い.ぬ', 'みたまや', 'や.める']",['シン']
捩,2,10,"['よじ.る', 'ね.じる', 'ねじ.れる', 'もじ.る']","['レイ', 'レツ']"
妬,2,8,"['ねた.む', 'そね.む', 'つも.る', 'ふさ.ぐ']","['ト', 'ツ']"
湯,6,12,['ゆ'],['トウ']
量,8,12,['はか.る'],['リョウ']
粘,2,11,['ねば.る'],['ネン']
練,4,14,"['ね.る', 'ね.り']",['レン']
念,7,8,,['ネン']
賀,2,12,,['ガ']
願,5,19,"['ねが.う', '-ねがい']",['ガン']
号,6,5,"['さけ.ぶ', 'よびな']",['ゴウ']
燃,4,16,"['も.える', 'も.やす', 'も.す']",['ネン']
焼,5,12,"['や.く', 'や.き', 'や.き-', '-や.き', 'や.ける']",['ショウ']
輪,5,15,['わ'],['リン']
農,10,13,,['ノウ']
納,5,10,"['おさ.める', '-おさ.める', 'おさ.まる']","['ノウ', 'ナッ', 'ナ', 'ナン', 'トウ']"
軒,3,10,['のき'],['ケン']
望,13,11,"['のぞ.む', 'もち']","['ボウ', 'モウ']"
乗,11,9,"['の.る', '-の.り', 'の.せる']","['ジョウ', 'ショウ']"
罵,1,15,['ののし.る'],['バ']
延,5,8,"['の.びる', 'の.べる', 'の.べ', 'の.ばす']",['エン']
飲,5,12,"['の.む', '-の.み']","['イン', 'オン']"
刃,1,3,"['は', 'やいば', 'き.る']","['ジン', 'ニン']"
把,1,7,,"['ハ', 'ワ']"
握,3,12,['にぎ.る'],['アク']
廃,3,12,"['すた.れる', 'すた.る']",['ハイ']
棄,3,13,['す.てる'],['キ']
配,14,10,['くば.る'],['ハイ']
給,10,12,"['たま.う', 'たも.う', '-たま.え']",['キュウ']
偶,5,11,['たま'],['グウ']
者,18,8,['もの'],['シャ']
拝,5,8,"['おが.む', 'おろが.む']",['ハイ']
啓,1,11,"['ひら.く', 'さと.す']",['ケイ']
背,7,9,"['せ', 'せい', 'そむ.く', 'そむ.ける']",['ハイ']
景,6,12,,['ケイ']
借,4,10,['か.りる'],['シャク']
排,2,11,,['ハイ']
賠,1,15,,['バイ']
償,3,17,['つぐな.う'],['ショウ']
敗,6,11,['やぶ.れる'],['ハイ']
置,10,13,"['お.く', '-お.き']",['チ']
布,9,5,"['ぬの', 'し.く', 'きれ']","['フ', 'ホ']"
分,48,4,"['わ.ける', 'わ.け', 'わ.かれる', 'わ.かる', 'わ.かつ']","['ブン', 'フン', 'ブ']"
北,4,5,['きた'],['ホク']
倍,2,10,,['バイ']
慮,3,15,"['おもんぱく.る', 'おもんぱか.る']",['リョ']
列,8,6,,"['レツ', 'レ']"
壊,4,16,"['こわ.す', 'こわ.れる', 'やぶ.る']","['カイ', 'エ']"
一,63,1,"['ひと-', 'ひと.つ']","['イチ', 'イツ']"
概,6,14,['おおむ.ね'],['ガイ']
著,6,11,"['あらわ.す', 'いちじる.しい']","['チョ', 'チャク']"
面,28,9,"['おも', 'おもて', 'つら']","['メン', 'ベン']"
目,39,5,"['め', '-め', 'ま-']","['モク', 'ボク']"
律,3,9,,"['リツ', 'リチ', 'レツ']"
括,2,9,['くく.る'],['カツ']
挙,3,10,"['あ.げる', 'あ.がる', 'こぞ.る']",['キョ']
変,12,9,"['か.わる', 'か.わり', 'か.える']",['ヘン']
営,5,12,"['いとな.む', 'いとな.み']",['エイ']
挑,2,9,['いど.む'],['チョウ']
稲,2,14,"['いね', 'いな-']","['トウ', 'テ']"
祈,2,8,['いの.る'],['キ']
今,16,4,['いま'],"['コン', 'キン']"
更,6,7,"['さら', 'さら.に', 'ふ.ける', 'ふ.かす']",['コウ']
未,10,5,"['いま.だ', 'ま.だ', 'ひつじ']","['ミ', 'ビ']"
移,6,11,"['うつ.る', 'うつ.す']",['イ']
民,14,5,['たみ'],['ミン']
嫌,7,13,"['きら.う', 'きら.い', 'いや']","['ケン', 'ゲン']"
卑,2,9,"['いや.しい', 'いや.しむ', 'いや.しめる']",['ヒ']
欲,7,11,"['ほっ.する', 'ほ.しい']",['ヨク']
衣,6,6,"['ころも', 'きぬ', '-ぎ']","['イ', 'エ']"
類,9,18,['たぐ.い'],['ルイ']
異,9,11,"['こと', 'こと.なる', 'け']",['イ']
印,7,6,"['しるし', '-じるし', 'しる.す']",['イン']
鑑,4,23,"['かんが.みる', 'かがみ']",['カン']
陰,4,11,"['かげ', 'かげ.る']",['イン']
隠,3,14,"['かく.す', 'かく.し', 'かく.れる', 'よ.る']","['イン', 'オン']"
受,17,8,"['う.ける', '-う.け', 'う.かる']",['ジュ']
継,6,13,"['つ.ぐ', 'まま-']",['ケイ']
持,12,9,"['も.つ', '-も.ち', 'も.てる']",['ジ']
埋,6,10,"['う.める', 'う.まる', 'う.もれる', 'うず.める', 'うず.まる', 'い.ける']",['マイ']
嘘,2,14,"['うそ', 'ふ.く']","['キョ', 'コ']"
消,15,10,"['き.える', 'け.す']",['ショウ']
扇,4,10,['おうぎ'],['セン']
訳,10,11,['わけ'],['ヤク']
写,9,5,"['うつ.す', 'うつ.る', 'うつ-', 'うつ.し']","['シャ', 'ジャ']"
訴,3,12,['うった.える'],['ソ']
空,20,8,"['そら', 'あ.く', 'あ.き', 'あ.ける', 'から', 'す.く', 'す.かす', 'むな.しい']",['クウ']
器,18,15,['うつわ'],['キ']
腕,2,12,['うで'],['ワン']
前,25,9,"['まえ', '-まえ']",['ゼン']
雨,6,8,"['あめ', 'あま-', '-さめ']",['ウ']
天,15,4,"['あまつ', 'あめ', 'あま-']",['テン']
促,3,9,['うなが.す'],['ソク']
梅,4,10,['うめ'],['バイ']
干,6,3,"['ほ.す', 'ほ.し-', '-ぼ.し', 'ひ.る']",['カン']
裏,5,13,['うら'],['リ']
返,15,7,"['かえ.す', '-かえ.す', 'かえ.る', '-かえ.る']",['ヘン']
潤,2,15,"['うるお.う', 'うるお.す', 'うる.む']",['ジュン']
浮,5,10,"['う.く', 'う.かれる', 'う.かぶ', 'う.かべる']",['フ']
植,6,12,"['う.える', 'う.わる']",['ショク']
運,17,12,['はこ.ぶ'],['ウン']
送,12,9,['おく.る'],['ソウ']
賃,3,13,,['チン']
云,1,4,"['い.う', 'ここに']",['ウン']
搬,1,13,,['ハン']
輸,5,16,,"['ユ', 'シュ']"
英,6,8,['はなぶさ'],['エイ']
字,16,6,"['あざ', 'あざな', '-な']",['ジ']
映,8,9,"['うつ.る', 'うつ.す', 'は.える', '-ば.え']",['エイ']
雄,2,12,"['お-', 'おす', 'おん']",['ユウ']
液,4,11,,['エキ']
閲,1,15,['けみ.する'],['エツ']
覧,5,17,['み.る'],['ラン']
獲,3,16,['え.る'],['カク']
襟,1,18,['えり'],['キン']
円,9,4,"['まる.い', 'まる', 'まど', 'まど.か', 'まろ.やか']",['エン']
縁,5,15,"['ふち', 'ふち.どる', 'ゆかり', 'よすが', 'へり', 'えにし']","['エン', '-ネン']"
側,4,11,"['かわ', 'がわ', 'そば']",['ソク']
沿,4,8,"['そ.う', '-ぞ.い']",['エン']
岸,3,8,['きし'],['ガン']
婉,1,11,"['うつく.しい', 'したが.う']",['エン']
曲,6,6,"['ま.がる', 'ま.げる', 'くま']",['キョク']
演,12,14,,['エン']
線,16,15,['すじ'],['セン']
方,31,4,"['かた', '-かた', '-がた']",['ホウ']
満,10,12,"['み.ちる', 'み.つ', 'み.たす']","['マン', 'バン']"
追,10,9,['お.う'],['ツイ']
於,1,8,"['おい.て', 'お.ける', 'ああ', 'より']","['オ', 'ヨ']"
老,5,6,"['お.いる', 'ふ.ける']",['ロウ']
応,14,7,"['あた.る', 'まさに', 'こた.える']","['オウ', 'ヨウ', '-ノウ']"
急,14,9,"['いそ.ぐ', 'いそ.ぎ', 'せ.く']",['キュウ']
黄,3,11,"['き', 'こ-']","['コウ', 'オウ']"
往,2,8,"['い.く', 'いにしえ', 'さき.に', 'ゆ.く']",['オウ']
診,7,12,['み.る'],['シン']
大,63,3,"['おお-', 'おお.きい', '-おお.いに']","['ダイ', 'タイ']"
筋,5,12,['すじ'],['キン']
幅,2,12,['はば'],['フク']
犯,4,5,['おか.す'],"['ハン', 'ボン']"
侵,3,9,['おか.す'],['シン']
臆,1,17,"['むね', 'おくする']","['オク', 'ヨク']"
病,7,10,"['や.む', '-や.み', 'やまい']","['ビョウ', 'ヘイ']"
遅,7,12,"['おく.れる', 'おく.らす', 'おそ.い']",['チ']
収,13,4,"['おさ.める', 'おさ.まる']",['シュウ']
治,9,8,"['おさ.める', 'おさ.まる', 'なお.る', 'なお.す']","['ジ', 'チ']"
押,7,8,"['お.す', 'お.し-', 'お.っ-', 'お.さえる', 'おさ.える']",['オウ']
惜,2,11,"['お.しい', 'お.しむ']",['セキ']
御,11,12,"['おん-', 'お-', 'み-']","['ギョ', 'ゴ']"
世,15,5,['よ'],"['セイ', 'セ', 'ソウ']"
辞,8,13,"['や.める', 'いな.む']",['ジ']
襲,2,22,"['おそ.う', 'かさ.ね']",['シュウ']
恐,7,10,"['おそ.れる', 'おそ.る', 'おそ.ろしい', 'こわ.い', 'こわ.がる']",['キョウ']
落,16,12,"['お.ちる', 'お.ち', 'お.とす']",['ラク']
着,28,12,"['き.る', 'き.せる', 'つ.く', 'つ.ける']","['チャク', 'ジャク']"
葉,7,12,['は'],['ヨウ']
乙,1,1,"['おと-', 'きのと']","['オツ', 'イツ']"
使,8,8,"['つか.う', 'つか.い', '-つか.い', '-づか.い']",['シ']
脅,4,10,"['おびや.かす', 'おど.す', 'おど.かす']",['キョウ']
訪,3,11,"['おとず.れる', 'たず.ねる', 'と.う']",['ホウ']
供,5,8,"['そな.える', 'とも', '-ども']","['キョウ', 'ク', 'クウ', 'グ']"
衰,2,10,['おとろ.える'],['スイ']
怯,2,8,"['ひる.む', 'おびえ.る', 'おじる', 'おび.える', 'おそ.れる']","['キョウ', 'コウ']"
帯,11,10,"['お.びる', 'おび']",['タイ']
袋,5,11,['ふくろ'],"['タイ', 'ダイ']"
宮,2,10,['みや'],"['キュウ', 'グウ', 'ク', 'クウ']"
思,15,9,"['おも.う', 'おもえら.く', 'おぼ.す']",['シ']
趣,3,15,"['おもむき', 'おもむ.く']",['シュ']
赴,2,9,['おもむ.く'],['フ']
重,26,9,"['え', 'おも.い', 'おも.り', 'おも.なう', 'かさ.ねる', 'かさ.なる', 'おも']","['ジュウ', 'チョウ']"
父,13,4,['ちち'],['フ']
及,5,3,"['およ.ぶ', 'およ.び', 'および', 'およ.ぼす']",['キュウ']
檻,1,19,"['おり', 'おばしま', 'てすり']",['カン']
織,3,18,"['お.る', 'お.り', 'おり', '-おり', '-お.り']","['ショク', 'シキ']"
俺,1,10,"['おれ', 'われ']",['エン']
愚,2,13,['おろ.か'],['グ']
界,4,9,,['カイ']
街,5,12,['まち'],"['ガイ', 'カイ']"
改,13,7,"['あらた.める', 'あらた.まる']",['カイ']
悪,10,11,"['わる.い', 'わる-', 'あ.し', 'にく.い', '-にく.い', 'ああ', 'いずくに', 'いずくんぞ', 'にく.む']","['アク', 'オ']"
海,12,9,['うみ'],['カイ']
外,30,5,"['そと', 'ほか', 'はず.す', 'はず.れる', 'と-']","['ガイ', 'ゲ']"
革,6,9,['かわ'],['カク']
貝,3,7,['かい'],['バイ']
殻,3,11,"['から', 'がら']","['カク', 'コク', 'バイ']"
観,14,18,"['み.る', 'しめ.す']",['カン']
階,5,12,['きざはし'],['カイ']
級,8,9,,['キュウ']
峡,1,9,['はざま'],"['キョウ', 'コウ']"
介,5,4,,['カイ']
開,14,12,"['ひら.く', 'ひら.き', '-びら.き', 'ひら.ける', 'あ.く', 'あ.ける']",['カイ']
催,5,13,"['もよう.す', 'もよお.す']",['サイ']
修,11,10,"['おさ.める', 'おさ.まる']","['シュウ', 'シュ']"
怪,2,8,"['あや.しい', 'あや.しむ']","['カイ', 'ケ']"
解,19,13,"['と.く', 'と.かす', 'と.ける', 'ほど.く', 'ほぐ.す', 'わか.る', 'さと.る']","['カイ', 'ゲ']"
相,18,9,['あい-'],"['ソウ', 'ショウ']"
説,11,14,['と.く'],"['セツ', 'ゼイ']"
層,4,14,,['ソウ']
拓,1,8,['ひら.く'],['タク']
訂,2,9,['ただ.す'],['テイ']
道,19,12,"['みち', 'いう']","['ドウ', 'トウ']"
該,1,13,,['ガイ']
抱,6,8,"['だ.く', 'いだ.く', 'かか.える']",['ホウ']
剖,1,10,,['ボウ']
略,7,11,"['ほぼ', 'はぶ.く', 'おか.す', 'おさ.める', 'はかりごと', 'はか.る']",['リャク']
良,10,7,"['よ.い', '-よ.い', 'い.い', '-い.い']",['リョウ']
省,8,9,"['かえり.みる', 'はぶ.く']","['セイ', 'ショウ']"
顧,1,21,['かえり.みる'],['コ']
顔,3,18,['かお'],['ガン']
課,8,15,,['カ']
掲,3,11,['かか.げる'],['ケイ']
掻,3,11,['か.く'],['ソウ']
画,11,8,"['えが.く', 'かく.する', 'かぎ.る', 'はかりごと', 'はか.る']","['ガ', 'カク', 'エ', 'カイ']"
芸,8,7,"['う.える', 'のり', 'わざ']","['ゲイ', 'ウン']"
格,14,10,,"['カク', 'コウ', 'キャク', 'ゴウ']"
拡,4,8,"['ひろ.がる', 'ひろ.げる', 'ひろ.める']","['カク', 'コウ']"
散,8,12,"['ち.る', 'ち.らす', '-ち.らす', 'ち.らかす', 'ち.らかる', 'ち.らばる', 'ばら', 'ばら.ける']",['サン']
士,7,3,['さむらい'],['シ']
各,5,6,['おのおの'],['カク']
種,8,14,"['たね', '-ぐさ']",['シュ']
隔,5,13,"['へだ.てる', 'へだ.たる']",['カク']
週,9,11,,['シュウ']
確,13,15,"['たし.か', 'たし.かめる']","['カク', 'コウ']"
信,11,9,,['シン']
新,12,13,"['あたら.しい', 'あら.た', 'あら-', 'にい-']",['シン']
譜,1,19,,['フ']
保,13,9,['たも.つ'],"['ホ', 'ホウ']"
賭,2,15,"['か.ける', 'かけ']",['ト']
崖,1,11,"['がけ', 'きし', 'はて']","['ガイ', 'ゲ', 'ギ']"
駆,3,14,"['か.ける', 'か.る']",['ク']
足,18,7,"['あし', 'た.りる', 'た.る', 'た.す']",['ソク']
計,15,9,"['はか.る', 'はか.らう']",['ケイ']
加,14,5,"['くわ.える', 'くわ.わる']",['カ']
化,16,4,"['ば.ける', 'ば.かす', 'ふ.ける', 'け.する']","['カ', 'ケ']"
箇,2,14,,"['カ', 'コ']"
条,4,7,"['えだ', 'すじ']","['ジョウ', 'チョウ', 'デキ']"
微,7,13,['かす.か'],['ビ']
霞,1,17,"['かすみ', 'かす.む']","['カ', 'ゲ']"
擦,5,17,"['す.る', 'す.れる', '-ず.れ', 'こす.る', 'こす.れる']",['サツ']
火,14,4,"['ひ', '-び', 'ほ-']",['カ']
星,5,9,"['ほし', '-ぼし']","['セイ', 'ショウ']"
石,9,5,['いし'],"['セキ', 'シャク', 'コク']"
河,4,8,['かわ'],['カ']
川,2,3,['かわ'],['セン']
繊,2,17,,['セン']
過,16,12,"['す.ぎる', 'す.ごす', 'あやま.ち', 'あやま.つ', 'よぎ.る', 'よ.ぎる']",['カ']
疎,1,12,"['うと.い', 'うと.む', 'まば.ら']","['ソ', 'ショ']"
片,9,4,"['かた-', 'かた']",['ヘン']
傾,5,13,"['かたむ.く', 'かたむ.ける', 'かたぶ.く', 'かた.げる', 'かし.げる']",['ケイ']
傍,1,12,"['かたわ.ら', 'わき', 'おか-', 'はた', 'そば']",['ボウ']
花,11,7,['はな'],"['カ', 'ケ']"
壇,1,16,,"['ダン', 'タン']"
畜,4,10,,['チク']
且,1,5,['か.つ'],"['ショ', 'ソ', 'ショウ']"
致,3,10,['いた.す'],['チ']
活,11,9,"['い.きる', 'い.かす', 'い.ける']",['カツ']
併,1,8,['あわ.せる'],['ヘイ']
叶,2,5,"['かな.える', 'かな.う']",['キョウ']
槌,1,13,['つち'],['ツイ']
予,15,4,['あらかじ.め'],"['ヨ', 'シャ']"
庇,1,7,"['ひさし', 'おお.う', 'かば.う']",['ヒ']
株,2,10,['かぶ'],['シュ']
幣,2,15,['ぬさ'],['ヘイ']
噛,2,15,"['か.む', 'か.じる']","['コウ', 'ゴウ']"
粥,1,12,"['かゆ', 'かい', 'ひさ.ぐ']","['イク', 'シュク', 'ジュク']"
絡,2,12,"['から.む', 'から.まる']",['ラク']
労,7,7,"['ろう.する', 'いたわ.る', 'いた.ずき', 'ねぎら', 'つか.れる', 'ねぎら.う']",['ロウ']
簡,4,18,"['えら.ぶ', 'ふだ']","['カン', 'ケン']"
易,6,8,"['やさ.しい', 'やす.い']","['エキ', 'イ']"
灌,1,20,['そそ.ぐ'],['カン']
漑,1,15,['そそ.ぐ'],"['ガイ', 'カイ']"
眼,4,11,"['まなこ', 'め']","['ガン', 'ゲン']"
球,6,11,['たま'],['キュウ']
玩,1,8,"['もちあそ.ぶ', 'もてあそ.ぶ']",['ガン']
具,13,8,"['そな.える', 'つぶさ.に']",['グ']
潔,3,15,['いさぎよ.い'],['ケツ']
還,3,16,['かえ.る'],['カン']
看,4,9,['み.る'],['カン']
漢,3,13,,['カン']
頑,3,13,['かたく.な'],['ガン']
勧,3,13,['すす.める'],"['カン', 'ケン']"
換,8,12,"['か.える', '-か.える', 'か.わる']",['カン']
監,2,15,,['カン']
視,8,11,['み.る'],['シ']
衆,6,12,['おお.い'],"['シュウ', 'シュ']"
丈,4,3,"['たけ', 'だけ']",['ジョウ']
触,4,13,"['ふ.れる', 'さわ.る', 'さわ']",['ショク']
肝,2,7,['きも'],['カン']
腎,1,13,,['ジン']
税,7,12,,['ゼイ']
岩,3,8,['いわ'],['ガン']
染,6,9,"['そ.める', 'そ.まる', 'し.みる', 'し.み']",['セン']
幹,4,13,['みき'],['カン']
完,4,7,,['カン']
勘,4,11,,['カン']
弁,9,5,"['かんむり', 'わきま.える', 'わ.ける', 'はなびら', 'あらそ.う']","['ベン', 'ヘン']"
誘,4,14,"['さそ.う', 'いざな.う']",['ユウ']
与,5,3,"['あた.える', 'あずか.る', 'くみ.する', 'ともに']",['ヨ']
寛,1,13,"['くつろ.ぐ', 'ひろ.い', 'ゆる.やか']",['カン']
容,11,10,['い.れる'],['ヨウ']
例,10,8,['たと.える'],['レイ']
貫,2,11,"['つらぬ.く', 'ぬ.く', 'ぬき']",['カン']
禄,1,12,"['さいわ.い', 'ふち']",['ロク']
緩,5,15,"['ゆる.い', 'ゆる.やか', 'ゆる.む', 'ゆる.める']",['カン']
案,10,10,['つくえ'],['アン']
危,6,6,"['あぶ.ない', 'あや.うい', 'あや.ぶむ']",['キ']
企,2,6,"['くわだ.てる', 'たくら.む']",['キ']
規,12,11,,['キ']
飾,7,13,"['かざ.る', 'かざ.り']",['ショク']
機,16,16,['はた'],['キ']
聞,5,14,"['き.く', 'き.こえる']","['ブン', 'モン']"
帰,7,10,"['かえ.る', 'かえ.す', 'おく.る', 'とつ.ぐ']",['キ']
京,2,8,['みやこ'],"['キョウ', 'ケイ', 'キン']"
戯,1,15,"['たわむ.れる', 'ざ.れる', 'じゃ.れる']","['ギ', 'ゲ']"
基,8,11,"['もと', 'もとい']",['キ']
喜,3,12,"['よろこ.ぶ', 'よろこ.ばす']",['キ']
既,2,10,['すで.に'],['キ']
婚,6,11,,['コン']
記,15,10,['しる.す'],['キ']
載,4,13,"['の.せる', 'の.る']",['サイ']
兆,2,6,"['きざ.す', 'きざ.し']",['チョウ']
質,15,15,"['たち', 'ただ.す', 'もと', 'わりふ']","['シツ', 'シチ', 'チ']"
期,17,12,,"['キ', 'ゴ']"
象,7,12,['かたど.る'],"['ショウ', 'ゾウ']"
傷,7,13,"['きず', 'いた.む', 'いた.める']",['ショウ']
犠,1,17,['いけにえ'],"['ギ', 'キ']"
牲,1,9,,['セイ']
汽,2,7,,['キ']
船,7,11,"['ふね', 'ふな-']",['セン']
贈,3,18,['おく.る'],"['ゾウ', 'ソウ']"
偽,1,11,"['いつわ.る', 'にせ', 'いつわ.り']","['ギ', 'カ']"
族,3,11,,['ゾク']
題,11,18,,['ダイ']
鍛,1,17,['きた.える'],['タン']
几,1,2,['きにょう'],['キ']
帳,4,11,['とばり'],['チョウ']
起,8,10,"['お.きる', 'お.こる', 'お.こす', 'おこ.す', 'た.つ']",['キ']
軌,1,9,,['キ']
能,15,10,"['よ.く', 'あた.う']",['ノウ']
範,3,15,,['ハン']
風,16,9,"['かぜ', 'かざ-']","['フウ', 'フ']"
伏,2,6,"['ふ.せる', 'ふ.す']",['フク']
模,6,14,,"['モ', 'ボ']"
真,25,10,"['ま', 'ま-', 'まこと']",['シン']
末,9,5,"['すえ', 'うら', 'うれ']","['マツ', 'バツ']"
脚,4,11,['あし'],"['キャク', 'キャ', 'カク']"
転,21,11,"['ころ.がる', 'ころ.げる', 'ころ.がす', 'ころ.ぶ', 'まろ.ぶ', 'うたた', 'うつ.る', 'くる.めく']",['テン']
華,4,10,['はな'],"['カ', 'ケ']"
奢,1,12,"['おご.る', 'おご.り']",['シャ']
客,7,9,,"['キャク', 'カク']"
救,5,11,['すく.う'],['キュウ']
援,4,12,,['エン']
究,3,7,['きわ.める'],"['キュウ', 'ク']"
窮,2,15,"['きわ.める', 'きわ.まる', 'きわ.まり', 'きわ.み']","['キュウ', 'キョウ']"
屈,4,8,"['かが.む', 'かが.める']",['クツ']
済,7,11,"['す.む', '-ず.み', '-ずみ', 'す.まない', 'す.ます', '-す.ます', 'すく.う', 'な.す', 'わたし', 'わた.る']","['サイ', 'セイ']"
食,20,9,"['く.う', 'く.らう', 'た.べる', 'は.む']","['ショク', 'ジキ']"
旧,3,5,"['ふる.い', 'もと']",['キュウ']
知,17,8,"['し.る', 'し.らせる']",['チ']
狂,2,7,"['くる.う', 'くる.おしい', 'くるお.しい']",['キョウ']
驚,4,22,"['おどろ.く', 'おどろ.かす']",['キョウ']
教,18,11,"['おし.える', 'おそ.わる']",['キョウ']
協,6,8,,['キョウ']
境,5,14,['さかい'],"['キョウ', 'ケイ']"
遇,2,12,['あ.う'],['グウ']
訓,3,10,"['おし.える', 'よ.む', 'くん.ずる']","['クン', 'キン']"
硬,4,12,['かた.い'],['コウ']
材,7,7,,['ザイ']
凶,1,4,,['キョウ']
郷,5,11,['さと'],"['キョウ', 'ゴウ']"
愁,1,13,"['うれ.える', 'うれ.い']",['シュウ']
職,11,18,,"['ショク', 'ソク']"
制,14,8,,['セイ']
績,5,17,,['セキ']
存,9,6,"['ながら.える', 'あ.る', 'たも.つ', 'と.う']","['ソン', 'ゾン']"
迫,4,8,['せま.る'],['ハク']
鳴,6,14,"['な.く', 'な.る', 'な.らす']",['メイ']
里,2,7,['さと'],['リ']
烈,2,10,['はげ.しい'],['レツ']
局,5,7,['つぼね'],['キョク']
端,5,14,"['はし', 'は', 'はた', '-ばた', 'はな']",['タン']
住,10,7,"['す.む', 'す.まう', '-ず.まい']","['ジュウ', 'ヂュウ', 'チュウ']"
拒,2,8,['こば.む'],"['キョ', 'ゴ']"
漁,4,14,['あさ.る'],"['ギョ', 'リョウ']"
村,3,7,['むら'],['ソン']
否,4,7,"['いな', 'いや']",['ヒ']
清,9,11,"['きよ.い', 'きよ.まる', 'きよ.める']","['セイ', 'ショウ', 'シン']"
義,7,13,,['ギ']
理,26,11,['ことわり'],['リ']
疑,4,14,['うたが.う'],['ギ']
惑,4,12,['まど.う'],['ワク']
近,16,7,['ちか.い'],"['キン', 'コン']"
緊,2,15,"['し.める', 'し.まる']",['キン']
郊,2,9,,['コウ']
均,2,7,['なら.す'],['キン']
衡,1,16,,['コウ']
禁,4,13,,['キン']
勤,10,12,"['つと.める', '-づと.め', 'つと.まる', 'いそ.しむ']","['キン', 'ゴン']"
勉,2,10,['つと.める'],['ベン']
吟,2,7,,['ギン']
味,22,8,"['あじ', 'あじ.わう']",['ミ']
違,12,13,"['ちが.う', 'ちが.い', 'ちが.える', '-ちが.える', 'たが.う', 'たが.える']",['イ']
間,40,12,"['あいだ', 'ま', 'あい']","['カン', 'ケン']"
区,9,4,,"['ク', 'オウ', 'コウ']"
茎,1,8,['くき'],"['ケイ', 'キョウ']"
痴,1,13,"['し.れる', 'おろか']",['チ']
嘴,1,16,"['くちばし', 'はし']",['シ']
朽,1,6,['く.ちる'],['キュウ']
覆,3,18,"['おお.う', 'くつがえ.す', 'くつがえ.る']",['フク']
玄,2,5,"['くろ', 'くろ.い']",['ゲン']
黒,5,11,"['くろ', 'くろ.ずむ', 'くろ.い']",['コク']
軍,6,9,['いくさ'],['グン']
艦,1,21,,['カン']
君,4,7,"['きみ', '-ぎみ']",['クン']
群,5,13,"['む.れる', 'む.れ', 'むら', 'むら.がる']",['グン']
備,11,12,"['そな.える', 'そな.わる', 'つぶさ.に']",['ビ']
服,10,8,,['フク']
警,6,19,['いまし.める'],['ケイ']
戒,1,7,['いまし.める'],['カイ']
敬,5,12,['うやま.う'],"['ケイ', 'キョウ']"
斜,4,11,"['なな.め', 'はす']",['シャ']
勢,8,13,"['いきお.い', 'はずみ']","['セイ', 'ゼイ']"
刑,4,6,,['ケイ']
罰,4,14,['ばっ.する'],"['バツ', 'バチ', 'ハツ']"
電,17,13,,['デン']
才,2,3,,['サイ']
展,6,10,,['テン']
示,5,5,['しめ.す'],"['ジ', 'シ']"
伝,15,6,"['つた.わる', 'つた.える', 'つた.う', 'つだ.う', '-づた.い', 'つて']","['デン', 'テン']"
達,10,12,['-たち'],"['タツ', 'ダ']"
胴,1,10,,['ドウ']
員,13,10,,['イン']
陶,1,11,['すえ'],['トウ']
校,15,10,,"['コウ', 'キョウ']"
統,9,12,['す.べる'],['トウ']
資,9,13,,['シ']
選,7,15,"['えら.ぶ', 'え.る', 'よ.る']",['セン']
走,3,7,['はし.る'],['ソウ']
軸,1,12,,['ジク']
死,7,6,"['し.ぬ', 'し.に-']",['シ']
湿,6,12,"['しめ.る', 'しめ.す', 'うるお.う', 'うるお.す']","['シツ', 'シュウ']"
施,4,9,['ほどこ.す'],"['シ', 'セ']"
嗜,1,13,"['たしな.む', 'たしな.み', 'この.む', 'この.み']",['シ']
項,2,12,['うなじ'],['コウ']
刻,6,8,"['きざ.む', 'きざ.み']",['コク']
