kanji,count,strokes,kun_readings,on_readings
入,37,2,"['い.る', '-い.る', '-い.り', 'い.れる', '-い.れ', 'はい.る']","['ニュウ', 'ジュ']"
認,5,14,"['みと.める', 'したた.める']",['ニン']
熱,12,15,['あつ.い'],['ネツ']
費,9,12,"['つい.やす', 'つい.える']",['ヒ']
買,4,12,['か.う'],['バイ']
評,7,12,,['ヒョウ']
付,38,5,"['つ.ける', '-つ.ける', '-づ.ける', 'つ.け', 'つ.け-', '-つ.け', '-づ.け', '-づけ', 'つ.く', '-づ.く', 'つ.き', '-つ.き', '-つき', '-づ.き', '-づき']",['フ']
募,5,12,['つの.る'],['ボ']
巧,3,5,"['たく.み', 'たく.む', 'うま.い']",['コウ']
妙,4,7,['たえ'],"['ミョウ', 'ビョウ']"
小,24,3,"['ちい.さい', 'こ-', 'お-', 'さ-']",['ショウ']
売,19,7,"['う.る', 'う.れる']",['バイ']
効,7,8,"['き.く', 'ききめ', 'なら.う']",['コウ']
率,10,11,['ひき.いる'],"['ソツ', 'リツ', 'シュツ']"
立,36,5,"['た.つ', '-た.つ', 'た.ち-', 'た.てる', '-た.てる', 'た.て-', 'たて-', '-た.て', '-だ.て', '-だ.てる']","['リツ', 'リュウ', 'リットル']"
護,7,20,['まも.る'],['ゴ']
衛,5,16,,"['エイ', 'エ']"
柄,7,9,"['がら', 'え', 'つか']",['ヘイ']
切,37,4,"['き.る', '-き.る', 'き.り', '-き.り', '-ぎ.り', 'き.れる', '-き.れる', 'き.れ', '-き.れ', '-ぎ.れ']","['セツ', 'サイ']"
手,61,4,"['て', 'て-', '-て', 'た-']","['シュ', 'ズ']"
国,23,8,['くに'],['コク']
産,27,11,"['う.む', 'う.まれる', 'うぶ-', 'む.す']",['サン']
告,9,7,['つ.げる'],['コク']
白,10,5,"['しろ', 'しら-', 'しろ.い']","['ハク', 'ビャク']"
防,11,7,['ふせ.ぐ'],['ボウ']
有,21,6,['あ.る'],"['ユウ', 'ウ']"
極,10,12,"['きわ.める', 'きわ.まる', 'きわ.まり', 'きわ.み', 'き.める', '-ぎ.め', 'き.まる']","['キョク', 'ゴク']"
楽,11,13,"['たの.しい', 'たの.しむ', 'この.む']","['ガク', 'ラク', 'ゴウ']"
連,17,10,"['つら.なる', 'つら.ねる', 'つ.れる', '-づ.れ']",['レン']
焦,5,12,"['こ.げる', 'こ.がす', 'こ.がれる', 'あせ.る', 'じ.れる', 'じ.らす']",['ショウ']
茶,13,9,,"['チャ', 'サ']"
源,7,13,['みなもと'],['ゲン']
心,33,4,"['こころ', '-ごころ']",['シン']
得,11,11,"['え.る', 'う.る']",['トク']
掛,25,11,"['か.ける', '-か.ける', 'か.け', '-か.け', '-が.け', 'か.かる', '-か.かる', '-が.かる', 'か.かり', '-が.かり', 'かかり', '-がかり']","['カイ', 'ケイ']"
志,6,7,"['シリング', 'こころざ.す', 'こころざし']",['シ']
強,21,11,"['つよ.い', 'つよ.まる', 'つよ.める', 'し.いる', 'こわ.い']","['キョウ', 'ゴウ']"
細,8,11,"['ほそ.い', 'ほそ.る', 'こま.か', 'こま.かい']",['サイ']
試,6,13,"['こころ.みる', 'ため.す']",['シ']
快,6,7,['こころよ.い'],['カイ']
誤,5,14,"['あやま.る', '-あやま.る']",['ゴ']
差,19,10,"['さ.す', 'さ.し']",['サ']
孤,3,9,,['コ']
児,6,7,"['こ', '-こ', '-っこ']","['ジ', 'ニ', 'ゲイ']"
梢,1,11,"['こずえ', 'くすのき']",['ショウ']
個,6,10,,"['コ', 'カ']"
性,16,8,['さが'],"['セイ', 'ショウ']"
戸,7,4,['と'],['コ']
籍,3,20,,['セキ']
代,21,5,"['か.わる', 'かわ.る', 'かわ.り', 'か.わり', '-がわ.り', '-が.わり', 'か.える', 'よ', 'しろ']","['ダイ', 'タイ']"
誇,3,13,['ほこ.る'],['コ']
張,13,11,"['は.る', '-は.り', '-ば.り']",['チョウ']
滑,4,13,"['すべ.る', 'なめ.らか']","['カツ', 'コツ']"
稽,2,15,"['かんが.える', 'とど.める']",['ケイ']
骨,4,10,['ほね'],['コツ']
董,1,12,['ただ.す'],['トウ']
品,25,9,['しな'],"['ヒン', 'ホン']"
固,6,8,"['かた.める', 'かた.まる', 'かた.まり', 'かた.い']",['コ']
事,36,8,"['こと', 'つか.う', 'つか.える']","['ジ', 'ズ']"
独,11,9,['ひと.り'],"['ドク', 'トク']"
殊,2,10,['こと'],['シュ']
粉,4,10,"['デシメートル', 'こ', 'こな']",['フン']
碁,3,13,,['ゴ']
盤,4,15,,['バン']
別,14,7,"['わか.れる', 'わ.ける']",['ベツ']
込,24,5,"['-こ.む', 'こ.む', 'こ.み', '-こ.み', 'こ.める']",
籠,2,22,"['かご', 'こ.める', 'こも.る', 'こ.む']","['ロウ', 'ル']"
暦,3,14,['こよみ'],"['レキ', 'リャク']"
凝,2,16,"['こ.る', 'こ.らす', 'こご.らす', 'こご.らせる', 'こご.る']",['ギョウ']
懲,1,18,"['こ.りる', 'こ.らす', 'こ.らしめる']",['チョウ']
根,10,10,"['ね', '-ね']",['コン']
気,68,6,"['いき', 'き']","['キ', 'ケ']"
拠,2,8,['よ.る'],"['キョ', 'コ']"
混,9,11,"['ま.じる', '-ま.じり', 'ま.ざる', 'ま.ぜる', 'こ.む']",['コン']
血,7,6,['ち'],['ケツ']
昆,1,8,,['コン']
虫,3,6,['むし'],"['チュウ', 'キ']"
底,4,8,['そこ'],['テイ']
同,23,6,['おな.じ'],['ドウ']
本,31,5,['もと'],['ホン']
財,6,10,['たから'],"['ザイ', 'サイ', 'ゾク']"
再,10,6,['ふたた.び'],"['サイ', 'サ']"
会,35,6,"['あ.う', 'あ.わせる', 'あつ.まる']","['カイ', 'エ']"
災,5,7,['わざわ.い'],['サイ']
害,11,10,,['ガイ']
菌,3,11,,['キン']
採,8,11,['と.る'],['サイ']
掘,3,11,['ほ.る'],['クツ']
決,21,7,"['き.める', '-ぎ.め', 'き.まる', 'さ.く']",['ケツ']
建,10,9,"['た.てる', 'た.て', '-だ.て', 'た.つ']","['ケン', 'コン']"
在,11,6,['あ.る'],['ザイ']
庫,5,10,['くら'],"['コ', 'ク']"
算,13,14,['そろ'],['サン']
生,62,5,"['い.きる', 'い.かす', 'い.ける', 'う.まれる', 'うま.れる', 'う.まれ', 'うまれ', 'う.む', 'お.う', 'は.える', 'は.やす', 'き', 'なま', 'なま-', 'な.る', 'な.す', 'む.す', '-う']","['セイ', 'ショウ']"
政,7,9,"['まつりごと', 'まん']","['セイ', 'ショウ']"
最,11,12,"['もっと.も', 'つま']","['サイ', 'シュ']"
善,6,12,"['よ.い', 'い.い', 'よ.く', 'よし.とする']",['ゼン']
択,2,7,['えら.ぶ'],['タク']
栽,1,10,,['サイ']
培,1,11,['つちか.う'],['バイ']
発,31,9,"['た.つ', 'あば.く', 'おこ.る', 'つか.わす', 'はな.つ']","['ハツ', 'ホツ']"
胞,1,9,,['ホウ']
遮,1,14,['さえぎ.る'],['シャ']
冴,1,7,"['さ.える', 'こお.る', 'ひ.える']","['ゴ', 'コ']"
竿,1,9,['さお'],['カン']
栄,3,9,"['さか.える', 'は.え', '-ば.え', 'は.える', 'え']","['エイ', 'ヨウ']"
額,4,18,['ひたい'],['ガク']
杯,4,8,['さかずき'],['ハイ']
